run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260721_024352,5.005,1,Left,53,100.000000,0.000000,100.000000,0.000000,0.004000,0.007199,0.007336,3,0.000000,0.000000,0.194211,0.240000,0.092419,0.000000,0.194211,0.092419,0.213554,0.002458,0.240000,0.213554,4.344511,0.090686,13.137438,-143.883209,0.600000,-152.500031,18.752887,15.436263,17.537692,25.330079,13.020160,6.187505,0.202541,31,0.097554,278.228710,11.463773,14.166777,198.04
20260721_024352,5.005,1,Right,53,100.000000,0.000000,100.000000,0.000000,0.002928,0.007245,0.005426,0,0.000000,0.000000,0.147484,0.240000,-0.054819,-0.147484,0.000000,0.054819,0.190943,0.000025,0.240000,0.190943,4.241079,0.090788,-12.246447,-143.545258,0.600000,-152.500031,18.752887,15.436263,17.161646,55.460837,27.709803,16.718867,0.223914,4,0.097554,278.228710,11.463773,14.166777,198.04
20260721_024352,10.012,1,Left,118,100.000000,0.000000,100.000000,0.000000,0.010177,0.012789,0.015914,11,0.000000,0.000000,0.219961,0.950000,0.055898,-0.213786,0.219961,0.117562,0.536808,0.000063,0.950000,0.536808,9.839800,8.666429,23.097578,-181.913086,-1.319316,-217.625992,43.484116,43.569596,13.294279,50.368735,11.307101,26.302335,0.271802,38,0.455747,428.957044,7.903566,11.102298,77.09
20260721_024352,10.012,1,Right,117,100.000000,0.000000,100.000000,0.000000,0.006303,0.012449,0.011127,4,0.000000,0.000000,0.147484,0.947107,-0.006109,-0.147484,0.130205,0.065981,0.506765,0.000000,0.947107,0.506765,9.140511,8.592854,-20.032930,-177.939560,-1.319316,-217.625992,43.484116,43.569596,13.894070,114.274004,24.816359,62.202675,0.275283,7,0.455747,428.957044,7.903566,11.102298,77.09
20260721_024352,15.024,1,Left,195,100.000000,0.000000,100.000000,0.000000,0.008475,0.008267,0.013119,17,0.000000,0.000000,0.219961,0.950000,0.044380,-0.213786,0.219961,0.089911,0.681711,0.000063,0.950000,0.681711,13.877959,12.067689,8.954148,-280.850250,-21.636333,-305.062561,36.249723,35.074631,9.057971,64.225704,11.307101,37.423672,0.277885,38,0.704279,163.636944,2.548465,5.422856,221.90
20260721_024352,15.024,1,Right,194,100.000000,0.000000,100.000000,0.000000,0.004721,0.009006,0.008127,8,0.000000,0.000000,0.147484,0.947107,-0.001814,-0.147484,0.130205,0.062347,0.630311,0.000000,0.947107,0.630311,13.259390,12.040849,-29.177050,-274.853210,-21.636333,-305.062561,36.249723,35.074631,2.485009,130.127588,24.816359,70.574297,0.267907,7,0.704279,163.636944,2.548465,5.422856,221.90
20260721_024352,20.045,1,Left,272,100.000000,0.000000,100.000000,0.000000,0.007085,0.006375,0.011119,21,0.000000,0.000000,0.219961,0.950000,0.050508,-0.213786,0.219961,0.083150,0.733713,0.000063,0.950000,0.733713,15.619522,13.543237,-34.670364,-370.820129,-63.158333,-385.050751,31.037930,30.600685,1.934799,65.887880,11.307101,37.899068,0.274499,38,0.860866,25.658499,0.325741,1.632750,80.82
20260721_024352,20.045,1,Right,269,100.000000,0.000000,100.000000,0.000000,0.003822,0.007998,0.006581,9,0.000000,0.000000,0.147484,0.947107,0.006721,-0.147484,0.130205,0.053910,0.660490,0.000000,0.947107,0.660490,14.471811,13.501583,-62.771568,-355.696472,-63.158333,-385.050751,31.037930,30.600685,2.062565,120.709038,24.816359,57.986037,0.230297,7,0.860866,25.658499,0.325741,1.632750,80.82
20260721_024352,25.046,1,Left,354,100.000000,0.000000,100.000000,0.000000,0.006794,0.009475,0.010342,24,0.000000,0.000000,0.219961,0.950000,0.036815,-0.213786,0.219961,0.082302,0.730480,0.000063,0.950000,0.730480,16.119180,14.408824,-101.149971,-431.051086,-123.243607,-452.217285,25.476429,31.380403,14.315856,63.271128,11.307101,34.586130,0.259968,38,0.369483,181.780057,5.949499,19.217781,88.72
20260721_024352,25.046,1,Right,348,100.000000,0.000000,100.000000,0.000000,0.003286,0.008104,0.005699,10,0.000000,0.000000,0.147484,0.947107,0.015515,-0.147484,0.130205,0.051992,0.671042,0.000000,0.947107,0.671042,14.963483,14.359336,-111.595993,-422.235870,-123.243607,-452.217285,25.476429,31.380403,30.050384,113.355580,24.816359,48.771315,0.204035,7,0.369483,181.780057,5.949499,19.217781,88.72
20260721_024352,30.054,1,Left,430,100.000000,0.000000,100.000000,1.395349,0.006847,0.015520,0.010668,29,0.000000,0.000000,0.219961,0.950000,0.034142,-0.213786,0.219961,0.075574,0.726391,0.000063,0.950000,0.726391,15.996891,14.916291,-160.249115,-480.611450,-197.162720,-501.870819,31.359639,37.313981,20.892836,64.131772,11.307101,35.460929,0.254874,50,0.320395,95.576253,8.556258,21.295918,165.34
20260721_024352,30.054,1,Right,424,100.000000,0.000000,100.000000,0.000000,0.003236,0.008062,0.005497,11,0.000000,0.000000,0.147484,0.947107,0.014657,-0.147484,0.130205,0.050189,0.677891,0.000000,0.947107,0.677891,15.387966,14.882855,-179.011124,-475.480499,-197.162720,-501.870819,31.359639,37.313981,30.397990,109.063490,24.816359,43.343219,0.188428,7,0.320395,95.576253,8.556258,21.295918,165.34
20260721_024352,35.062,1,Left,497,100.000000,0.000000,100.000000,1.609658,0.006211,0.018418,0.009939,36,0.000000,0.000000,0.219961,0.950000,0.032432,-0.213786,0.219961,0.068279,0.731100,0.000063,0.950000,0.731100,16.214308,15.234942,-239.116760,-519.662170,-282.414276,-532.172241,33.195058,37.737186,22.538642,65.175130,11.307101,36.191065,0.249851,50,0.310265,47.493062,8.971937,22.522492,197.70
20260721_024352,35.062,1,Right,490,100.000000,0.000000,100.000000,0.000000,0.003268,0.007999,0.005478,13,0.000000,0.000000,0.147484,0.947107,0.014961,-0.147484,0.130205,0.048354,0.688289,0.000000,0.947107,0.688289,15.719444,15.205738,-261.323273,-510.270599,-282.414276,-532.172241,33.195058,37.737186,31.840187,106.936777,24.816359,40.515867,0.180051,7,0.310265,47.493062,8.971937,22.522492,197.70
20260721_024352,40.065,1,Left,570,100.000000,0.000000,100.000000,1.754386,0.005826,0.020585,0.009366,43,0.000000,0.000000,0.219961,0.950000,0.031184,-0.213786,0.219961,0.062440,0.739199,0.000063,0.950000,0.739199,16.420259,15.496854,-325.931580,-538.360901,-371.809021,-540.286255,32.912567,36.577533,22.936827,68.242431,11.307101,39.000916,0.251020,50,0.322615,90.230077,8.240532,21.784105,221.27
20260721_024352,40.065,1,Right,562,100.000000,0.000000,100.000000,0.000000,0.002967,0.008100,0.005036,16,0.000000,0.000000,0.147484,0.947107,0.017515,-0.147484,0.130205,0.046630,0.696217,0.000000,0.947107,0.696217,16.005791,15.471481,-348.466431,-526.250916,-371.809021,-540.286255,32.912567,36.577533,29.959033,104.547783,24.816359,37.550223,0.170849,7,0.322615,90.230077,8.240532,21.784105,221.27
