run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_184358,5.008,1,Left,57,64.912281,64.912281,64.912281,0.000000,0.003343,0.012774,0.013129,1,0.000000,0.000000,0.095269,0.727734,-0.014363,-0.095269,0.000000,0.014363,0.196154,0.000000,0.727734,0.196154,70.141186,49.231981,14.864524,0.110443,0,213.93
20260607_184358,5.008,1,Right,56,64.285714,64.285714,64.285714,0.000000,0.001282,0.013949,0.014092,1,0.000000,0.000000,0.067729,0.772729,0.010688,0.000000,0.067729,0.010688,0.188380,0.000000,0.772729,0.188380,79.193729,54.591986,22.589674,0.142585,0,213.93
20260607_184358,10.009,1,Left,119,83.193277,83.193277,83.193277,0.000000,0.014863,0.019733,0.053856,4,0.000000,0.000000,0.585401,0.836233,0.010479,-0.166434,0.585401,0.050733,0.449585,0.000000,0.836233,0.449585,85.855782,40.220892,25.357548,0.162700,0,447.25
20260607_184358,10.009,1,Right,116,82.758621,78.448276,82.758621,0.000000,0.010835,0.020478,0.036407,4,0.000000,0.000000,0.332050,0.791033,0.003589,-0.332050,0.251585,0.045274,0.433380,0.000000,0.791033,0.433380,93.385117,45.708816,27.219874,0.157330,0,447.25
20260607_184358,15.012,1,Left,178,88.764045,87.078652,88.764045,0.000000,0.012637,0.013910,0.042377,6,0.000000,0.000000,0.585401,0.899627,0.021531,-0.166434,0.585401,0.061862,0.590831,0.000000,0.899627,0.590831,122.782931,40.220892,60.291733,0.222204,0,230.63
20260607_184358,15.012,1,Right,175,88.571429,80.571429,88.571429,0.000000,0.010345,0.014524,0.033853,6,0.000000,0.000000,0.332050,0.858749,-0.000322,-0.332050,0.254200,0.061934,0.567953,0.000000,0.858749,0.567953,119.898679,45.708816,50.637836,0.202330,0,230.63
20260607_184358,20.015,1,Left,231,91.341991,90.043290,91.341991,0.000000,0.010264,0.011103,0.032960,8,0.000000,0.000000,0.585401,0.900000,0.021157,-0.166434,0.585401,0.052235,0.658014,0.000000,0.900000,0.658014,141.089353,40.220892,77.758161,0.243051,0,245.94
20260607_184358,20.015,1,Right,227,91.189427,77.973568,91.189427,0.000000,0.010384,0.011993,0.033181,7,0.000000,0.000000,0.332050,0.858749,0.017986,-0.332050,0.254200,0.069721,0.606050,0.000000,0.858749,0.606050,115.945401,45.708816,45.419247,0.196261,0,245.94
20260607_184358,25.025,1,Left,287,93.031359,91.986063,93.031359,0.000000,0.013500,0.014522,0.036916,16,0.000000,0.000000,0.585401,0.900000,0.026999,-0.166434,0.585401,0.053455,0.669898,0.000000,0.900000,0.669898,138.949685,38.637860,75.872118,0.247953,0,457.39
20260607_184358,25.025,1,Right,282,92.907801,78.368794,92.907801,0.000000,0.009908,0.010209,0.030890,9,0.000000,0.000000,0.332050,0.858749,0.018881,-0.332050,0.254200,0.075374,0.631690,0.000000,0.858749,0.631690,113.062239,45.708816,41.744337,0.191017,0,457.39
