run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260625_214756,5.010,1,Left,58,100.000000,0.000000,100.000000,0.000000,0.004240,0.020895,0.008749,5,0.000000,0.000000,0.063628,0.926286,0.002472,-0.063628,0.059322,0.026884,0.693391,0.410041,0.926286,0.693391,13.231540,13.686418,16.929150,-195.287918,0.069355,-224.432281,32.031105,33.317149,4.017377,178.407534,116.282286,88.608683,0.203227,0,0.669280,50.344174,2.628956,3.228530,280.99
20260625_214756,5.010,1,Right,57,100.000000,0.000000,100.000000,0.000000,0.008781,0.033626,0.014337,7,0.000000,0.000000,0.112218,0.924320,0.003521,-0.095884,0.112218,0.053707,0.612359,0.240001,0.924320,0.612359,12.592633,13.629271,-12.499832,-193.957993,0.069355,-224.432281,32.031105,33.317149,3.889846,150.542539,65.645216,71.642287,0.196430,0,0.669280,50.344174,2.628956,3.228530,280.99
20260625_214756,10.011,1,Left,110,100.000000,0.000000,100.000000,0.000000,0.003341,0.018424,0.005946,7,0.000000,0.000000,0.063628,0.948156,0.017038,-0.063628,0.059322,0.029909,0.762411,0.410041,0.948156,0.762411,16.178987,15.389670,9.312369,-291.776062,-15.940608,-312.759033,31.349566,29.891584,3.270330,192.055673,116.282286,102.256823,0.218951,0,0.755919,23.714719,1.104186,3.126235,269.44
20260625_214756,10.011,1,Right,109,100.000000,0.000000,100.000000,0.000000,0.006551,0.025163,0.010324,10,0.000000,0.000000,0.112218,0.925024,0.006369,-0.095884,0.112218,0.041518,0.701403,0.240001,0.925024,0.701403,15.602189,15.375412,-24.653740,-287.256104,-15.940608,-312.759033,31.349566,29.891584,4.315667,151.837298,65.645216,70.065965,0.195646,0,0.755919,23.714719,1.104186,3.126235,269.44
20260625_214756,15.023,1,Left,165,100.000000,0.000000,100.000000,0.000000,0.003069,0.018665,0.004867,10,0.000000,0.000000,0.063628,0.948156,0.019523,-0.063628,0.059322,0.028104,0.767009,0.410041,0.948156,0.767009,16.996144,16.022431,-24.398699,-378.720642,-53.494904,-394.685028,29.574951,29.562624,3.196692,183.657175,115.594682,93.858324,0.209821,0,0.860488,22.505264,1.278117,2.998377,267.26
20260625_214756,15.023,1,Right,164,100.000000,0.000000,100.000000,0.000000,0.005872,0.022607,0.008434,11,0.000000,0.000000,0.112218,0.925024,0.020995,-0.095884,0.112218,0.044862,0.704760,0.240001,0.925024,0.704760,16.210666,16.016812,-52.277901,-368.776459,-53.494904,-394.685028,29.574951,29.562624,4.092915,145.077987,65.645216,62.251209,0.189027,0,0.860488,22.505264,1.278117,2.998377,267.26
20260625_214756,20.033,1,Left,220,100.000000,0.000000,100.000000,0.454545,0.002773,0.017583,0.004269,12,0.000000,0.000000,0.063628,0.948156,0.022253,-0.063628,0.059322,0.028689,0.786680,0.410041,0.948156,0.786680,17.660976,16.339300,-78.588806,-458.675568,-109.440414,-463.965729,30.986986,30.172285,2.682974,178.811853,115.594682,89.013003,0.207696,0,0.857903,23.281431,1.003483,1.667428,369.90
20260625_214756,20.033,1,Right,218,100.000000,0.000000,100.000000,3.211009,0.005114,0.029225,0.007160,12,0.000000,0.000000,0.112218,0.925024,0.018725,-0.095884,0.112218,0.038312,0.706661,0.240001,0.925024,0.706661,16.380418,16.332168,-101.943398,-435.907349,-109.440414,-463.965729,30.986986,30.172285,1.068925,140.462891,65.645216,57.123417,0.178458,0,0.857903,23.281431,1.003483,1.667428,369.90
20260625_214756,25.040,1,Left,275,100.000000,0.000000,100.000000,0.363636,0.002599,0.015693,0.003938,14,0.000000,0.000000,0.063628,0.948156,0.022070,-0.063628,0.059322,0.027219,0.785555,0.410041,0.948156,0.785555,17.889892,16.535339,-151.694717,-518.659485,-181.930328,-518.106445,28.737622,28.573407,0.451845,171.095520,115.594682,81.296670,0.197804,0,0.881028,34.538676,1.108882,1.805349,244.65
20260625_214756,25.040,1,Right,273,100.000000,0.000000,100.000000,3.296703,0.004508,0.027145,0.006211,14,0.000000,0.000000,0.112218,0.925024,0.019919,-0.095884,0.112218,0.035560,0.711774,0.240001,0.925024,0.711774,16.646249,16.531081,-168.381485,-494.860596,-181.930328,-518.106445,28.737622,28.573407,3.094139,135.585556,65.645216,51.927967,0.168319,0,0.881028,34.538676,1.108882,1.805349,244.65
