run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260805_124829,5.010,1,Left,52,100.000000,0.000000,100.000000,0.000000,0.009386,0.037617,0.015412,7,0.000000,0.000000,0.105094,0.939636,-0.016179,-0.105094,0.068121,0.047081,0.633501,0.240001,0.939636,0.633501,12.288283,12.955597,13.364749,-187.540619,0.277967,-220.693954,33.454749,36.529801,8.324779,161.778825,78.359518,73.680765,0.174363,0,0.469711,71.889362,5.390389,6.694974,268.81
20260805_124829,5.010,1,Right,52,98.076923,0.000000,98.076923,11.538462,0.006872,0.053577,0.015235,6,0.000000,0.000000,0.086182,0.875895,0.006754,-0.078421,0.086182,0.036431,0.579439,0.181739,0.875895,0.579439,11.834380,12.960015,-13.900124,-186.067368,0.277967,-220.693954,33.454749,36.529801,8.072553,191.149497,89.448167,82.326985,0.185481,0,0.469711,71.889362,5.390389,6.694974,268.81
20260805_124829,10.023,1,Left,100,100.000000,0.000000,100.000000,5.000000,0.008596,0.031870,0.011887,8,0.000000,0.000000,0.118049,0.943761,0.016837,-0.105094,0.118049,0.056277,0.742125,0.240001,0.943761,0.742125,15.853782,15.038589,15.708728,-286.564362,-15.193931,-310.928802,39.423661,37.280097,9.794891,193.981447,78.359518,104.692196,0.226661,0,0.593079,267.386809,2.896591,6.767747,277.51
20260805_124829,10.023,1,Right,99,98.989899,0.000000,98.989899,14.141414,0.005853,0.052063,0.010923,8,0.000000,0.000000,0.095645,0.897381,0.010205,-0.078421,0.095645,0.032499,0.667224,0.181739,0.897381,0.667224,14.932208,15.017648,-27.114439,-277.800262,-15.193931,-310.928802,39.423661,37.280097,6.439511,200.704192,89.448167,86.428818,0.189688,0,0.593079,267.386809,2.896591,6.767747,277.51
20260805_124829,15.036,1,Left,148,97.297297,0.000000,97.297297,10.810811,0.006901,0.044625,0.010695,13,0.000000,0.000000,0.118049,0.943761,0.011094,-0.105094,0.118049,0.041961,0.728784,0.012935,0.943761,0.728784,16.160100,15.769381,-11.181842,-364.981323,-51.612286,-392.193115,42.017751,42.695347,19.034779,201.030056,78.359518,111.346498,0.231108,0,0.455023,339.143072,8.057291,11.642526,236.58
20260805_124829,15.036,1,Right,146,99.315068,0.000000,99.315068,14.383562,0.005671,0.050369,0.009064,9,0.000000,0.000000,0.095645,0.897381,0.022031,-0.078421,0.095645,0.037149,0.675616,0.181739,0.897381,0.675616,15.475033,15.749744,-50.735035,-355.547943,-51.612286,-392.193115,42.017751,42.695347,6.657510,200.465169,89.448167,84.271893,0.190840,0,0.455023,339.143072,8.057291,11.642526,236.58
20260805_124829,20.041,1,Left,196,95.918367,0.000000,95.918367,14.285714,0.007135,0.056776,0.010376,20,0.000000,0.000000,0.118049,0.943761,0.014370,-0.105094,0.118049,0.039145,0.699957,0.012935,0.943761,0.699957,15.862735,16.142417,-44.032562,-430.280640,-107.118988,-462.282379,57.725060,62.213342,41.910848,201.137111,78.359518,111.243815,0.230928,0,0.189918,917.334094,21.264065,27.847438,326.35
20260805_124829,20.041,1,Right,194,94.329897,0.000000,94.329897,13.917526,0.006722,0.050932,0.013999,14,0.000000,0.000000,0.151819,0.897381,0.018232,-0.151819,0.131703,0.033927,0.650560,0.000050,0.897381,0.650560,15.102559,16.131530,-89.104164,-411.707367,-107.118988,-462.282379,57.725060,62.213342,23.873003,200.458864,89.448167,83.435188,0.189984,0,0.189918,917.334094,21.264065,27.847438,326.35
20260805_124829,25.051,1,Left,249,96.787149,0.000000,96.787149,18.072289,0.009036,0.060300,0.016060,24,0.000000,0.000000,0.398703,0.943761,0.028468,-0.105094,0.398703,0.049035,0.709768,0.012935,0.943761,0.709768,16.208074,16.400356,-94.723381,-501.457123,-179.742249,-517.433105,68.771291,67.089788,57.279880,246.077183,78.359518,156.032932,0.258199,0,0.174887,1329.705838,22.552760,34.713089,274.55
20260805_124829,25.051,1,Right,247,95.546559,0.000000,95.546559,12.955466,0.006015,0.045660,0.012494,20,0.000000,0.000000,0.151819,0.907044,0.019520,-0.151819,0.131703,0.034362,0.681341,0.000050,0.907044,0.681341,15.956296,16.393681,-161.221771,-473.505005,-179.742249,-517.433105,68.771291,67.089788,18.275966,213.178512,89.448167,95.443237,0.200815,0,0.174887,1329.705838,22.552760,34.713089,274.55
20260805_124829,30.055,1,Left,302,97.350993,0.000000,97.350993,16.887417,0.009020,0.055891,0.015795,30,0.000000,0.000000,0.398703,0.943761,0.035691,-0.105094,0.398703,0.052648,0.729696,0.012935,0.943761,0.729696,16.777685,16.555566,-187.146149,-509.356934,-261.466003,-551.889709,62.055779,84.712230,57.422882,260.496299,78.359518,170.355520,0.269303,0,0.073878,311.727904,40.281572,52.739249,272.48
20260805_124829,30.055,1,Right,300,89.000000,0.000000,89.000000,14.666667,0.006017,0.048725,0.012641,23,0.000000,0.000000,0.151819,0.918327,0.023278,-0.151819,0.131703,0.035498,0.629903,0.000006,0.918327,0.629903,14.742405,16.551105,-198.280167,-496.852631,-261.466003,-551.889709,62.055779,84.712230,71.041521,225.961967,89.448167,107.941417,0.212845,0,0.073878,311.727904,40.281572,52.739249,272.48
20260805_124829,35.059,1,Left,358,97.765363,0.000000,97.765363,17.039106,0.013451,0.055922,0.023662,40,0.000000,0.000000,0.570570,0.943761,0.010330,-0.570570,0.398703,0.087448,0.707801,0.012935,0.943761,0.707801,16.357511,16.669511,-230.785629,-546.645203,-350.933075,-565.367065,88.832633,98.382588,94.608156,247.276626,62.134388,158.792630,0.282247,0,0.057400,2003.518562,47.263505,68.025754,252.82
20260805_124829,35.059,1,Right,355,90.704225,0.000000,90.704225,13.521127,0.005785,0.045640,0.012430,30,0.000000,0.000000,0.151819,0.947477,0.020942,-0.151819,0.131703,0.031764,0.663656,0.000006,0.947477,0.663656,15.469045,16.664661,-293.720215,-516.613708,-350.933075,-565.367065,88.832633,98.382588,70.226823,258.310680,89.448167,139.919179,0.226333,0,0.057400,2003.518562,47.263505,68.025754,252.82
20260805_124829,40.073,1,Left,415,98.072289,0.000000,98.072289,18.554217,0.016850,0.057257,0.027766,47,0.000000,0.000000,0.570570,0.947416,0.011802,-0.570570,0.421578,0.098556,0.719397,0.012935,0.947416,0.719397,16.587137,16.755017,-311.165131,-575.172791,-441.285583,-556.030090,93.277228,92.880485,105.200910,272.741088,62.134388,183.963588,0.302439,0,0.070668,1758.195260,42.811889,68.032595,214.14
20260805_124829,40.073,1,Right,412,91.990291,0.000000,91.990291,11.650485,0.005073,0.040460,0.010722,30,0.000000,0.000000,0.151819,0.947477,0.020315,-0.151819,0.131703,0.029639,0.693386,0.000006,0.947477,0.693386,16.095415,16.751443,-393.689941,-530.018005,-441.285583,-556.030090,93.277228,92.880485,53.085501,272.197093,89.448167,153.534758,0.233625,0,0.070668,1758.195260,42.811889,68.032595,214.14
20260805_124829,45.077,1,Left,468,95.940171,0.000000,95.940171,22.435897,0.016850,0.061057,0.026914,48,0.000000,0.000000,0.570570,0.947416,0.017532,-0.570570,0.421578,0.094591,0.695317,0.002366,0.947416,0.695317,16.234738,16.816104,-370.694061,-602.417175,-525.148071,-525.040710,118.138688,106.441889,147.334671,288.436364,62.134388,199.490283,0.309287,0,0.088248,1575.441919,51.871870,87.954402,342.00
20260805_124829,45.077,1,Right,464,92.887931,0.000000,92.887931,11.637931,0.004736,0.038583,0.009746,31,0.000000,0.000000,0.151819,0.947477,0.022313,-0.151819,0.131703,0.030592,0.703511,0.000006,0.947477,0.703511,16.398137,16.812311,-485.399353,-519.507080,-525.148071,-525.040710,118.138688,106.441889,38.735324,271.927487,89.448167,153.080561,0.235612,0,0.088248,1575.441919,51.871870,87.954402,342.00
20260805_124829,50.082,1,Left,522,95.019157,0.000000,95.019157,24.712644,0.015590,0.062301,0.025763,49,0.000000,0.000000,0.570570,0.947416,0.016210,-0.570570,0.421578,0.086108,0.684776,0.000951,0.947416,0.684776,15.953798,16.865614,-437.868591,-602.929626,-599.593323,-473.621765,139.714254,120.673054,180.829321,314.773699,62.134388,225.672819,0.312697,0,0.091892,1321.142403,62.072203,106.152642,239.33
