run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260616_193115,5.005,1,Left,52,100.000000,0.000000,100.000000,0.000000,0.010037,0.026176,0.017361,9,0.000000,0.000000,0.119126,0.842147,-0.022334,-0.079073,0.119126,0.039110,0.556672,0.168000,0.842147,0.556672,10.266343,13.639650,20.458830,-179.253403,-0.011698,-224.994293,37.467696,35.868616,21.024338,229.064688,114.548471,51.028244,0.123147,0,0.528492,39.038220,4.958980,13.070808,341.95
20260616_193115,5.005,1,Right,51,100.000000,0.000000,100.000000,0.000000,0.010368,0.030195,0.017448,4,0.000000,0.000000,0.152416,0.928095,-0.025742,-0.152416,0.131159,0.061004,0.717786,0.404717,0.928095,0.717786,15.066086,13.618729,-10.229296,-205.935806,-0.011698,-224.994293,37.467696,35.868616,8.397337,94.504807,46.384404,56.019586,0.250166,0,0.528492,39.038220,4.958980,13.070808,341.95
20260616_193115,10.011,1,Left,103,100.000000,0.000000,100.000000,0.000000,0.005745,0.017012,0.009302,10,0.000000,0.000000,0.119126,0.867242,0.011158,-0.079073,0.119126,0.042178,0.683117,0.168000,0.867242,0.683117,14.687373,15.442364,24.095800,-274.875458,-16.484234,-313.599243,44.067365,38.734987,26.105992,274.174806,114.548471,81.136990,0.143751,0,0.517659,190.294404,5.516894,16.420283,245.42
20260616_193115,10.011,1,Right,102,100.000000,0.000000,100.000000,0.000000,0.009497,0.020381,0.013775,5,0.000000,0.000000,0.185840,0.928095,0.010186,-0.156962,0.185840,0.092786,0.766713,0.404717,0.928095,0.766713,17.040090,15.449577,-26.842468,-294.897888,-16.484234,-313.599243,44.067365,38.734987,11.285134,78.218444,46.384404,39.733223,0.250409,0,0.517659,190.294404,5.516894,16.420283,245.42
20260616_193115,15.017,1,Left,152,100.000000,0.000000,100.000000,0.000000,0.004179,0.013817,0.006517,10,0.000000,0.000000,0.119126,0.881209,0.015809,-0.079073,0.119126,0.036830,0.725801,0.168000,0.881209,0.725801,16.206662,16.034918,-5.210115,-366.103821,-53.875122,-394.420746,41.351351,44.165084,26.342301,301.619333,114.548471,103.650725,0.156402,0,0.327262,139.557689,12.263219,16.721678,259.89
20260616_193115,15.017,1,Right,150,100.000000,0.000000,100.000000,0.000000,0.011834,0.022547,0.017584,9,0.000000,0.000000,0.347133,0.928679,0.035775,-0.157359,0.347133,0.113485,0.716678,0.240023,0.928679,0.716678,16.338082,16.035471,-40.920765,-365.131409,-53.875122,-394.420746,41.351351,44.165084,12.038552,70.400716,29.334688,32.947893,0.250772,2,0.327262,139.557689,12.263219,16.721678,259.89
20260616_193115,20.023,1,Left,202,100.000000,0.000000,100.000000,0.000000,0.008556,0.012320,0.014299,17,0.000000,0.000000,0.326581,0.881209,0.015415,-0.146539,0.326581,0.051124,0.744894,0.168000,0.881209,0.744894,16.901351,16.343247,-56.800312,-445.125610,-110.478683,-464.087769,47.356338,43.611700,27.226807,303.067859,114.548471,102.533725,0.163385,0,0.407389,423.206908,6.984699,16.457159,293.16
20260616_193115,20.023,1,Right,199,100.000000,0.000000,100.000000,0.000000,0.010975,0.017353,0.015470,10,0.000000,0.000000,0.347133,0.949923,0.010119,-0.157359,0.347133,0.104068,0.764589,0.240023,0.949923,0.764589,17.230261,16.342055,-110.462456,-433.793549,-110.478683,-464.087769,47.356338,43.611700,8.438909,91.476753,29.334688,53.769722,0.278384,2,0.407389,423.206908,6.984699,16.457159,293.16
20260616_193115,25.026,1,Left,253,100.000000,0.000000,100.000000,0.000000,0.009602,0.010427,0.016492,27,0.000000,0.000000,0.326581,0.881209,0.018051,-0.146539,0.326581,0.051588,0.766023,0.168000,0.881209,0.766023,17.517262,16.532103,-126.915077,-513.729858,-182.243607,-517.408020,40.342528,37.985165,25.624202,313.435668,114.548471,111.329364,0.170780,0,0.500137,45.490919,7.654220,15.843248,370.62
20260616_193115,25.026,1,Right,250,100.000000,0.000000,100.000000,0.000000,0.010195,0.015809,0.014123,11,0.000000,0.000000,0.347133,0.949923,0.027321,-0.157359,0.347133,0.104043,0.772396,0.240023,0.949923,0.772396,17.562895,16.533420,-170.097885,-500.869019,-182.243607,-517.408020,40.342528,37.985165,9.819665,88.161953,29.334688,50.296170,0.276384,2,0.500137,45.490919,7.654220,15.843248,370.62
