run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260616_105151,5.010,0,Left,59,100.000000,0.000000,100.000000,23.728814,0.121245,0.084335,0.136392,8,0.000000,0.000000,0.755387,0.945209,0.013131,-0.755387,0.733381,0.348174,0.742359,0.379107,0.945209,0.742359,14.863757,13.346649,16.111111,-203.026520,0.088711,-224.941315,32.274884,30.213036,3.282383,84.158971,42.974181,43.134765,0.446250,0,0.666295,42.922506,2.510370,4.164336,366.99
20260616_105151,5.010,0,Right,57,100.000000,0.000000,100.000000,33.333333,0.074947,0.090702,0.106768,6,0.000000,0.000000,0.547612,0.887078,-0.039444,-0.547612,0.413278,0.200679,0.653090,0.323653,0.887078,0.653090,13.753479,13.238279,-19.992798,-198.404358,0.088711,-224.941315,32.274884,30.213036,6.422699,156.108923,116.611488,51.736034,0.327384,0,0.666295,42.922506,2.510370,4.164336,366.99
20260616_105151,10.012,0,Left,112,100.000000,0.000000,100.000000,22.321429,0.127266,0.080540,0.133832,14,0.000000,0.000000,0.755387,0.948854,0.016756,-0.755387,0.733381,0.339930,0.782750,0.379107,0.948854,0.782750,16.793679,15.207972,1.956534,-296.980804,-16.048634,-313.970947,30.062684,28.505776,5.254384,101.234273,42.974181,60.210067,0.462679,0,0.624698,15.115908,3.519638,4.646268,279.12
20260616_105151,10.012,0,Right,110,100.000000,0.000000,100.000000,28.181818,0.083505,0.082680,0.112754,12,0.000000,0.000000,0.555494,0.897305,0.007215,-0.547612,0.555494,0.221287,0.695663,0.323653,0.897305,0.695663,15.753390,15.185659,-28.700993,-284.300262,-16.048634,-313.970947,30.062684,28.505776,6.095478,162.386636,73.411166,58.576687,0.352013,0,0.624698,15.115908,3.519638,4.646268,279.12
20260616_105151,15.014,0,Left,163,100.000000,0.000000,100.000000,23.926380,0.128811,0.084087,0.133648,20,0.000000,0.000000,0.755387,0.948854,0.012525,-0.755387,0.733381,0.325224,0.785133,0.379107,0.948854,0.785133,17.341113,15.856280,-28.511662,-383.170898,-52.738178,-394.328369,28.785583,30.566242,3.826617,106.197368,42.974181,65.173162,0.458885,0,0.560438,55.708289,2.719761,6.509358,364.12
20260616_105151,15.014,0,Right,161,100.000000,0.000000,100.000000,27.329193,0.085394,0.081392,0.118719,18,0.000000,0.000000,0.555494,0.897305,0.031524,-0.547612,0.555494,0.223172,0.695343,0.278423,0.897305,0.695343,15.911285,15.849088,-41.715660,-361.678619,-52.738178,-394.328369,28.785583,30.566242,10.605292,159.831199,73.411166,56.086795,0.351712,0,0.560438,55.708289,2.719761,6.509358,364.12
20260616_105151,20.016,0,Left,217,100.000000,0.000000,100.000000,26.728111,0.126759,0.088923,0.127009,26,0.000000,0.000000,0.755387,0.948854,0.013669,-0.755387,0.733381,0.314809,0.779385,0.379107,0.948854,0.779385,17.608379,16.210581,-85.426437,-455.047546,-109.699615,-465.084106,36.563005,34.260944,5.555456,112.324960,42.974181,71.300754,0.460702,0,0.531135,129.781889,7.219275,10.043158,348.97
20260616_105151,20.016,0,Right,215,100.000000,0.000000,100.000000,24.651163,0.088012,0.078553,0.121610,24,0.000000,0.000000,0.647826,0.921719,0.006446,-0.647826,0.590885,0.233444,0.720888,0.278423,0.921719,0.720888,16.639926,16.208491,-111.080315,-422.851105,-109.699615,-465.084106,36.563005,34.260944,16.484294,168.769123,73.411166,64.866867,0.368054,0,0.531135,129.781889,7.219275,10.043158,348.97
20260616_105151,25.020,0,Left,278,100.000000,0.000000,100.000000,26.978417,0.123344,0.085602,0.124217,32,0.000000,0.000000,0.844509,0.949761,0.028852,-0.755387,0.844509,0.317419,0.784495,0.379107,0.949761,0.784495,17.743026,16.445240,-139.236145,-523.572754,-181.617218,-518.797363,39.863047,39.953669,13.221575,131.098969,42.974181,90.074763,0.475832,0,0.460062,291.971803,6.627188,9.027957,347.01
20260616_105151,25.020,0,Right,276,100.000000,0.000000,100.000000,26.449275,0.082905,0.075494,0.116854,30,0.000000,0.000000,0.661817,0.921719,0.027754,-0.647826,0.661817,0.226189,0.714654,0.278423,0.921719,0.714654,16.696561,16.445313,-159.019852,-489.174347,-181.617218,-518.797363,39.863047,39.953669,8.348770,169.411956,73.411166,65.405683,0.360334,0,0.460062,291.971803,6.627188,9.027957,347.01
