run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260805_124611,5.011,1,Left,56,100.000000,0.000000,100.000000,1.785714,0.009466,0.042029,0.013879,6,0.000000,0.000000,0.111260,0.929210,-0.002873,-0.107508,0.111260,0.057587,0.623796,0.240001,0.929210,0.623796,12.408898,13.233138,14.698478,-190.447021,0.214187,-222.424438,31.273314,33.292024,6.887514,170.984998,77.909908,83.562955,0.188921,0,0.601530,20.312176,2.978301,4.244506,263.74
20260805_124611,5.011,1,Right,55,100.000000,0.000000,100.000000,7.272727,0.010058,0.039999,0.017142,8,0.000000,0.000000,0.129706,0.926114,-0.006340,-0.129706,0.128054,0.055638,0.628222,0.240001,0.926114,0.628222,13.194205,13.237663,-12.358362,-193.564926,0.214187,-222.424438,31.273314,33.292024,2.570924,156.071564,58.191438,81.938939,0.219816,0,0.601530,20.312176,2.978301,4.244506,263.74
20260805_124611,10.015,1,Left,112,100.000000,0.000000,100.000000,2.678571,0.010617,0.032777,0.015104,14,0.000000,0.000000,0.159919,0.938057,0.022151,-0.107508,0.159919,0.059375,0.733418,0.240001,0.938057,0.733418,16.074086,15.264019,12.435112,-288.730316,-15.299576,-311.564880,34.021372,32.918652,6.271382,185.783396,77.909908,95.569399,0.218430,0,0.789038,101.266903,1.663989,3.695784,353.44
20260805_124611,10.015,1,Right,109,100.000000,0.000000,100.000000,11.009174,0.008150,0.043989,0.013726,12,0.000000,0.000000,0.139558,0.926114,0.009391,-0.129706,0.139558,0.048174,0.689815,0.240001,0.926114,0.689815,15.594808,15.247774,-23.293131,-282.740784,-15.299576,-311.564880,34.021372,32.918652,1.283047,148.834580,58.191438,69.358504,0.203326,0,0.789038,101.266903,1.663989,3.695784,353.44
20260805_124611,15.016,1,Left,165,98.181818,0.000000,98.181818,9.090909,0.008797,0.040918,0.012747,15,0.000000,0.000000,0.159919,0.938057,0.016355,-0.107508,0.159919,0.051427,0.732887,0.031108,0.938057,0.732887,16.494110,15.915065,-13.252551,-369.411255,-51.799175,-392.792694,36.715088,35.655100,15.161952,191.353954,77.909908,100.278242,0.225645,0,0.661897,117.901527,4.192207,9.031556,242.78
20260805_124611,15.016,1,Right,162,100.000000,0.000000,100.000000,12.962963,0.007058,0.047776,0.010333,13,0.000000,0.000000,0.139558,0.926114,0.017721,-0.129706,0.139558,0.043816,0.705043,0.240001,0.926114,0.705043,16.407164,15.916194,-51.983303,-366.566772,-51.799175,-392.792694,36.715088,35.655100,3.849965,149.108183,58.191438,67.851568,0.201267,0,0.661897,117.901527,4.192207,9.031556,242.78
20260805_124611,20.028,1,Left,218,95.871560,0.000000,95.871560,12.385321,0.007429,0.050084,0.010931,18,0.000000,0.000000,0.159919,0.938057,0.017698,-0.107508,0.159919,0.045917,0.715286,0.030893,0.938057,0.715286,16.296847,16.249916,-50.561073,-436.628235,-108.148209,-463.581268,53.054249,58.973648,34.546981,206.135172,77.909908,114.625386,0.236342,0,0.195666,720.142766,19.649651,24.704354,277.24
20260805_124611,20.028,1,Right,215,93.953488,0.000000,93.953488,13.488372,0.006453,0.049901,0.010112,18,0.000000,0.000000,0.139558,0.926114,0.022349,-0.129706,0.139558,0.042011,0.655742,0.000003,0.926114,0.655742,15.334184,16.255459,-85.202118,-414.296387,-108.148209,-463.581268,53.054249,58.973648,25.247207,150.759458,58.191438,68.777722,0.202574,0,0.195666,720.142766,19.649651,24.704354,277.24
20260805_124611,25.040,1,Left,270,96.666667,0.000000,96.666667,16.296296,0.006993,0.054641,0.009826,22,0.000000,0.000000,0.159919,0.938057,0.019826,-0.107508,0.159919,0.043514,0.722633,0.030893,0.938057,0.722633,16.667423,16.458815,-105.987671,-509.501556,-180.678925,-518.262634,64.321244,61.934399,45.550980,246.223014,77.909908,154.415142,0.254781,0,0.201010,1249.948860,18.077395,28.702267,239.99
20260805_124611,25.040,1,Right,267,95.131086,0.000000,95.131086,12.734082,0.005963,0.046634,0.009224,20,0.000000,0.000000,0.139558,0.939257,0.018105,-0.129706,0.139558,0.039154,0.694378,0.000003,0.939257,0.694378,16.165787,16.465626,-164.299606,-472.436371,-180.678925,-518.262634,64.321244,61.934399,19.914029,178.079847,58.191438,95.496888,0.223396,0,0.201010,1249.948860,18.077395,28.702267,239.99
