run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_173403,5.010,1,Left,50,62.000000,62.000000,62.000000,0.000000,0.002286,0.013920,0.016620,0,0.000000,0.000000,0.114295,0.695982,-0.018483,-0.114295,0.000000,0.018483,0.042644,0.000000,0.695982,0.042644,71.353100,52.518164,22.181548,0.169908,0,223.36
20260607_173403,5.010,1,Right,50,62.000000,82.000000,62.000000,0.000000,0.001527,0.000489,0.016024,0,0.000000,0.000000,0.076348,0.024444,0.008611,0.000000,0.076348,0.008611,0.001887,0.000000,0.024444,0.001887,77.363180,58.163759,58.584600,0.368107,0,223.36
20260607_173403,10.017,1,Left,92,79.347826,79.347826,79.347826,0.000000,0.004664,0.009778,0.019230,2,0.000000,0.000000,0.135902,0.871935,0.007850,-0.114576,0.135902,0.043514,0.399980,0.000000,0.871935,0.399980,139.754844,52.518164,67.434455,0.223587,0,458.44
20260607_173403,10.017,1,Right,91,79.120879,90.109890,79.120879,0.000000,0.003954,0.010089,0.016954,2,0.000000,0.000000,0.128061,0.857653,0.001432,-0.128061,0.101109,0.033799,0.347457,0.000000,0.857653,0.347457,183.796862,58.163759,98.425601,0.288414,0,458.44
20260607_173403,15.022,1,Left,141,86.524823,86.524823,86.524823,0.000000,0.004033,0.007142,0.014540,4,0.000000,0.000000,0.135902,0.879974,0.012353,-0.114576,0.135902,0.035624,0.561179,0.000000,0.879974,0.561179,176.877435,52.518164,97.694617,0.247802,0,211.96
20260607_173403,15.022,1,Right,140,86.428571,89.285714,86.428571,0.000000,0.004792,0.008177,0.016925,3,0.000000,0.000000,0.138876,0.857653,0.018524,-0.128061,0.138876,0.040842,0.500009,0.000000,0.857653,0.500009,201.698442,58.163759,95.845781,0.251919,0,211.96
20260607_173403,20.032,1,Left,185,89.729730,89.729730,89.729730,0.000000,0.004054,0.006032,0.012143,6,0.000000,0.000000,0.135902,0.879974,0.015577,-0.114576,0.135902,0.033313,0.625782,0.000000,0.879974,0.625782,180.781949,52.518164,98.889256,0.250527,0,245.22
20260607_173403,20.032,1,Right,184,89.673913,91.847826,89.673913,0.000000,0.004375,0.025638,0.014529,5,0.000000,0.000000,0.138876,0.857653,0.019349,-0.128061,0.138876,0.036330,0.544579,0.000000,0.857653,0.544579,193.081801,58.163759,79.203775,0.216062,0,245.22
20260607_173403,25.043,1,Left,237,91.983122,91.983122,91.983122,0.000000,0.003885,0.005272,0.010236,9,0.000000,0.000000,0.135902,0.879974,0.017306,-0.114576,0.135902,0.031150,0.663920,0.000000,0.879974,0.663920,176.223712,52.518164,92.538750,0.243943,0,254.29
20260607_173403,25.043,1,Right,236,91.949153,93.644068,91.949153,0.000000,0.004483,0.025838,0.014042,7,0.000000,0.000000,0.138876,0.857653,0.021804,-0.128061,0.138876,0.035043,0.574663,0.000000,0.857653,0.574663,194.652353,58.163759,75.485722,0.203261,0,254.29
