run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_172124,5.006,1,Left,51,70.588235,70.588235,70.588235,0.000000,0.006142,0.000000,0.011818,0,0.000000,0.000000,0.105869,0.000000,-0.013125,-0.105869,0.000000,0.013125,0.000000,0.000000,0.000000,0.000000,80.344433,63.312701,79.902660,0.443233,0,461.93
20260607_172124,5.006,1,Right,51,70.588235,84.313725,70.588235,0.000000,0.006055,0.000543,0.015226,0,0.000000,0.000000,0.103126,0.021626,0.011885,-0.103126,0.102567,0.019973,0.002697,0.000000,0.021626,0.002697,84.284211,55.814077,70.387506,0.415617,0,461.93
20260607_172124,10.017,1,Left,92,83.695652,83.695652,83.695652,0.000000,0.006166,0.010038,0.014482,1,0.000000,0.000000,0.125259,0.870878,-0.009070,-0.116781,0.125259,0.031047,0.296872,0.000000,0.870878,0.296872,196.402763,63.312701,114.526906,0.321029,0,441.74
20260607_172124,10.017,1,Right,92,83.695652,88.043478,83.695652,0.000000,0.006304,0.010207,0.015022,2,0.000000,0.000000,0.124260,0.851425,0.007454,-0.120051,0.124260,0.033295,0.325886,0.000000,0.851425,0.325886,191.386415,55.814077,103.177475,0.306158,0,441.74
20260607_172124,15.020,1,Left,138,89.130435,89.130435,89.130435,0.000000,0.005489,0.007486,0.012537,4,0.000000,0.000000,0.125259,0.896977,0.006673,-0.116781,0.125259,0.033418,0.492255,0.000000,0.896977,0.492255,294.409756,63.312701,183.224331,0.315984,0,273.64
20260607_172124,15.020,1,Right,138,89.130435,89.130435,89.130435,0.000000,0.006568,0.008157,0.015638,3,0.000000,0.000000,0.129967,0.851425,0.022271,-0.120051,0.129967,0.042409,0.481475,0.000000,0.851425,0.481475,219.015628,55.814077,105.950691,0.270352,0,273.64
20260607_172124,20.031,1,Left,188,92.021277,92.021277,92.021277,0.000000,0.005178,0.006056,0.010364,7,0.000000,0.000000,0.125259,0.896977,0.010595,-0.116781,0.125259,0.030226,0.597756,0.000000,0.896977,0.597756,347.561325,63.312701,222.196227,0.314223,0,237.57
20260607_172124,20.031,1,Right,188,92.021277,90.425532,92.021277,0.000000,0.006429,0.013426,0.014685,5,0.000000,0.000000,0.129967,0.851425,0.025955,-0.120051,0.129967,0.040737,0.535238,0.000000,0.851425,0.535238,214.976473,55.814077,89.886455,0.233413,0,237.57
20260607_172124,25.035,1,Left,240,93.750000,93.750000,93.750000,0.000000,0.004791,0.005130,0.008969,10,0.000000,0.000000,0.125259,0.896977,0.014510,-0.116781,0.125259,0.029888,0.661011,0.000000,0.896977,0.661011,378.394920,63.312701,244.968205,0.313799,0,229.20
20260607_172124,25.035,1,Right,240,93.750000,92.500000,93.750000,0.000000,0.005036,0.011089,0.012749,6,0.000000,0.000000,0.129967,0.851425,0.020332,-0.120051,0.129967,0.031911,0.586094,0.000000,0.851425,0.586094,217.073727,55.814077,85.147049,0.210889,0,229.20
20260607_172124,30.047,1,Left,288,94.791667,94.791667,94.791667,0.000000,0.004601,0.004779,0.008162,14,0.000000,0.000000,0.125259,0.899177,0.016873,-0.116781,0.125259,0.029688,0.699316,0.000000,0.899177,0.699316,397.256766,63.312701,259.114381,0.313752,0,196.91
20260607_172124,30.047,1,Right,288,94.791667,90.277778,94.791667,0.000000,0.005306,0.018887,0.013741,7,0.000000,0.000000,0.159677,0.854626,0.026484,-0.120051,0.159677,0.036133,0.586677,0.000000,0.854626,0.586677,217.709402,55.814077,81.783596,0.200118,0,196.91
20260607_172124,35.051,1,Left,344,95.639535,95.639535,95.639535,0.000000,0.004484,0.004266,0.007554,17,0.000000,0.000000,0.125259,0.900000,0.017359,-0.116781,0.125259,0.028088,0.731314,0.000000,0.900000,0.731314,416.140036,63.312701,274.235148,0.314383,0,239.26
20260607_172124,35.051,1,Right,343,95.626822,91.836735,95.626822,0.000000,0.004985,0.016370,0.013565,8,0.000000,0.000000,0.159677,0.858225,0.019939,-0.120051,0.159677,0.032637,0.624362,0.000000,0.858225,0.624362,231.646817,55.814077,92.577642,0.201571,0,239.26
