run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260616_185710,5.004,0,Left,48,100.000000,0.000000,100.000000,0.000000,0.012811,0.029639,0.018456,4,0.000000,0.000000,0.191454,0.870909,0.010368,-0.061840,0.191454,0.035519,0.783676,0.345883,0.870909,0.783676,15.331809,13.643004,14.324202,-206.962891,-0.011698,-227.035217,26.311904,25.529256,5.450843,123.152926,74.797680,45.166565,0.165783,0,0.622450,92.160984,3.095964,3.918291,358.95
20260616_185710,5.004,0,Right,47,100.000000,0.000000,100.000000,0.000000,0.010283,0.037288,0.012853,2,0.000000,0.000000,0.149549,0.888091,-0.026240,-0.149549,0.083098,0.064095,0.684811,0.243005,0.888091,0.684811,14.710741,13.697098,-13.426108,-204.306091,-0.011698,-227.035217,26.311904,25.529256,4.043182,115.061430,65.133302,40.249115,0.171214,0,0.622450,92.160984,3.095964,3.918291,358.95
20260616_185710,10.011,0,Left,92,100.000000,0.000000,100.000000,0.000000,0.015627,0.028114,0.020010,11,0.000000,0.000000,0.548088,0.870909,0.031362,-0.061840,0.548088,0.044484,0.752220,0.253995,0.870909,0.752220,16.653636,15.382844,1.862501,-295.806274,-16.157024,-314.610962,25.301171,25.563102,4.327680,110.418159,43.275055,34.729163,0.151570,0,0.674453,112.903803,2.472704,3.806243,224.09
20260616_185710,10.011,0,Right,91,100.000000,0.000000,100.000000,0.000000,0.008325,0.025023,0.009832,3,0.000000,0.000000,0.149549,0.888091,0.017256,-0.149549,0.143621,0.074831,0.717914,0.243005,0.888091,0.717914,16.306860,15.429902,-22.293299,-290.291534,-16.157024,-314.610962,25.301171,25.563102,4.973294,107.456908,65.133302,30.661293,0.162486,0,0.674453,112.903803,2.472704,3.806243,224.09
20260616_185710,15.019,0,Left,140,100.000000,0.000000,100.000000,0.000000,0.022338,0.029886,0.024793,14,0.000000,0.000000,0.548088,0.941698,0.019881,-0.279829,0.548088,0.084167,0.771425,0.242239,0.941698,0.771425,16.993071,16.033496,-20.949097,-379.444672,-53.494904,-395.850220,29.181617,29.612774,6.510628,120.169858,43.275055,44.590982,0.189716,0,0.655618,67.178237,3.842833,6.266643,252.33
20260616_185710,15.019,0,Right,138,100.000000,0.000000,100.000000,0.000000,0.007011,0.018496,0.008745,4,0.000000,0.000000,0.149549,0.888091,0.018345,-0.149549,0.145375,0.068673,0.718486,0.243005,0.888091,0.718486,16.720931,16.060189,-48.656857,-373.591217,-53.494904,-395.850220,29.181617,29.612774,8.684709,103.548361,65.133302,26.505709,0.146760,0,0.655618,67.178237,3.842833,6.266643,252.33
20260616_185710,20.024,0,Left,191,100.000000,0.000000,100.000000,0.000000,0.024683,0.022562,0.025870,17,0.000000,0.000000,0.548088,0.941698,0.012307,-0.279829,0.548088,0.103400,0.797469,0.242239,0.941698,0.797469,17.801883,16.366452,-88.333557,-453.396484,-111.520912,-467.122223,26.482056,26.856793,8.913284,127.261328,43.275055,51.002597,0.212158,0,0.475946,86.405286,4.718596,6.803327,269.99
20260616_185710,20.024,0,Right,188,100.000000,0.000000,100.000000,0.000000,0.007178,0.015823,0.008371,6,0.000000,0.000000,0.149549,0.888091,0.013416,-0.149549,0.146688,0.072172,0.731317,0.243005,0.888091,0.731317,17.051338,16.384729,-110.526779,-440.372406,-111.520912,-467.122223,26.482056,26.856793,7.707733,102.384347,65.133302,24.843958,0.147197,0,0.475946,86.405286,4.718596,6.803327,269.99
20260616_185710,25.029,0,Left,239,100.000000,0.000000,100.000000,0.000000,0.021782,0.018350,0.022289,18,0.000000,0.000000,0.548088,0.941698,0.025813,-0.279829,0.548088,0.100374,0.806228,0.242239,0.941698,0.806228,18.223014,16.549981,-153.034637,-524.214172,-182.870743,-519.802612,33.544100,33.236283,4.156125,127.428625,43.275055,50.795078,0.212179,0,0.633416,89.306667,2.254903,4.929262,231.96
20260616_185710,25.029,0,Right,235,100.000000,0.000000,100.000000,0.000000,0.011597,0.020077,0.012898,9,0.000000,0.000000,0.323219,0.940534,0.026254,-0.323219,0.301853,0.084540,0.716489,0.008301,0.940534,0.716489,16.646307,16.563839,-160.819000,-490.953217,-182.870743,-519.802612,33.544100,33.236283,7.457848,104.196144,24.598572,30.009013,0.180558,3,0.633416,89.306667,2.254903,4.929262,231.96
20260616_185710,30.039,0,Left,287,100.000000,0.000000,100.000000,0.000000,0.019552,0.016850,0.020145,21,0.000000,0.000000,0.548088,0.941698,0.023298,-0.279829,0.548088,0.090171,0.802056,0.242239,0.941698,0.802056,18.357126,16.672146,-241.594788,-560.800415,-266.672943,-553.908203,27.192902,25.955620,3.997663,123.958992,43.275055,47.108617,0.197979,0,0.598346,73.767229,3.339132,4.206221,266.00
20260616_185710,30.039,0,Right,282,100.000000,0.000000,100.000000,0.000000,0.010519,0.017186,0.011808,10,0.000000,0.000000,0.323219,0.940534,0.016013,-0.323219,0.301853,0.079054,0.741512,0.008301,0.940534,0.741512,17.209491,16.683271,-251.573059,-532.861328,-266.672943,-553.908203,27.192902,25.955620,6.090614,111.465969,24.598572,36.491002,0.188226,3,0.598346,73.767229,3.339132,4.206221,266.00
