run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260531_170205,5.011,0,Left,34,67.647059,67.647059,67.647059,0.000000,0.011185,0.006060,0.030173,1,0.000000,0.000000,0.190145,0.180000,-0.019905,-0.190145,0.000000,0.019905,0.032316,0.000000,0.180000,0.032316,95.583301,75.383469,0.191483,0,465.31
20260531_170205,5.011,0,Right,34,67.647059,82.352941,67.647059,0.000000,0.017679,0.027646,0.026965,2,0.000000,0.000000,0.300312,0.732259,0.020975,0.000000,0.300312,0.020975,0.063386,0.000000,0.732259,0.063386,105.195236,68.045582,0.185191,0,465.31
20260531_170205,10.024,0,Left,69,84.057971,84.057971,84.057971,0.000000,0.012379,0.032894,0.021884,4,0.000000,0.000000,0.190145,0.796876,0.009534,-0.190145,0.166211,0.038026,0.339941,0.000000,0.796876,0.339941,140.939699,75.383469,0.152509,0,225.79
20260531_170205,10.024,0,Right,69,84.057971,91.304348,84.057971,0.000000,0.014243,0.039965,0.022041,5,0.000000,0.000000,0.300312,0.900000,0.007760,-0.083710,0.300312,0.023962,0.353720,0.000000,0.900000,0.353720,154.120965,68.045582,0.152906,0,225.79
20260531_170205,15.039,0,Left,109,89.908257,89.908257,89.908257,0.000000,0.010145,0.023024,0.020627,7,0.000000,0.000000,0.190145,0.900000,0.013201,-0.190145,0.166211,0.040650,0.521296,0.000000,0.900000,0.521296,172.101971,75.383469,0.169295,0,191.65
20260531_170205,15.039,0,Right,109,89.908257,94.495413,89.908257,0.000000,0.010300,0.037692,0.018920,6,0.000000,0.000000,0.300312,0.900000,0.020127,-0.083710,0.300312,0.030383,0.473798,0.000000,0.900000,0.473798,166.455585,68.045582,0.144696,0,191.65
20260531_170205,20.050,0,Left,151,92.715232,92.715232,92.715232,0.000000,0.008608,0.017684,0.017702,9,0.000000,0.000000,0.190145,0.900000,0.018084,-0.190145,0.166211,0.037898,0.606948,0.000000,0.900000,0.606948,189.555188,75.383469,0.178292,0,454.96
20260531_170205,20.050,0,Right,151,92.715232,96.026490,92.715232,0.000000,0.009473,0.028065,0.017162,8,0.000000,0.000000,0.300312,0.900000,0.011600,-0.084790,0.300312,0.032985,0.565493,0.000000,0.900000,0.565493,179.146484,68.045582,0.156201,0,454.96
20260531_170205,25.065,0,Left,192,94.270833,94.270833,94.270833,0.000000,0.008344,0.015222,0.016127,13,0.000000,0.000000,0.190145,0.900000,0.020445,-0.190145,0.166211,0.036028,0.653546,0.000000,0.900000,0.653546,194.182099,75.383469,0.178745,0,210.78
20260531_170205,25.065,0,Right,191,94.240838,96.858639,94.240838,0.000000,0.009692,0.030720,0.018743,11,0.000000,0.000000,0.300312,0.900000,0.024592,-0.084790,0.300312,0.041498,0.570473,0.000000,0.900000,0.570473,180.971130,68.045582,0.157700,0,210.78
20260531_170205,30.070,0,Left,236,95.338983,95.338983,95.338983,0.000000,0.007616,0.013139,0.014800,15,0.000000,0.000000,0.190145,0.900000,0.020468,-0.190145,0.166211,0.033145,0.680203,0.000000,0.900000,0.680203,195.341593,75.383469,0.175180,0,455.61
20260531_170205,30.070,0,Right,235,95.319149,97.446809,95.319149,0.000000,0.008908,0.025801,0.018484,14,0.000000,0.000000,0.300312,0.900000,0.015497,-0.084790,0.300312,0.040465,0.614769,0.000000,0.900000,0.614769,187.222533,68.045582,0.161483,0,455.61
20260531_170205,35.077,0,Left,283,96.113074,96.113074,96.113074,0.000000,0.007085,0.011564,0.013897,18,0.000000,0.000000,0.190145,0.900000,0.020249,-0.190145,0.166211,0.030821,0.696784,0.000000,0.900000,0.696784,193.938271,75.383469,0.169233,0,214.18
20260531_170205,35.077,0,Right,281,96.085409,97.864769,96.085409,0.000000,0.008415,0.027004,0.018735,17,0.000000,0.000000,0.300312,0.900000,0.021445,-0.084790,0.300312,0.043858,0.632764,0.000000,0.900000,0.632764,191.767456,68.045582,0.166942,0,214.18
20260531_170205,40.083,0,Left,325,96.615385,96.615385,96.615385,0.000000,0.012014,0.015796,0.021346,22,0.000000,0.000000,0.598139,0.918419,0.018013,-0.255319,0.598139,0.038329,0.708147,0.000000,0.918419,0.708147,194.249467,75.383469,0.169369,0,447.11
20260531_170205,40.083,0,Right,323,96.594427,98.142415,96.594427,0.000000,0.008341,0.028692,0.019655,18,0.000000,0.000000,0.300312,0.900000,0.022538,-0.084790,0.300312,0.045348,0.631249,0.000000,0.900000,0.631249,189.176622,68.045582,0.161775,0,447.11
20260531_170205,45.084,0,Left,366,96.994536,96.994536,96.994536,0.000000,0.011377,0.014547,0.020625,24,0.000000,0.000000,0.598139,0.918419,0.020694,-0.255319,0.598139,0.038734,0.719676,0.000000,0.918419,0.719676,196.734553,75.383469,0.170935,0,441.37
20260531_170205,45.084,0,Right,364,96.978022,98.351648,96.978022,0.000000,0.008385,0.026045,0.019273,22,0.000000,0.000000,0.300312,0.900000,0.020461,-0.087573,0.300312,0.047088,0.653682,0.000000,0.900000,0.653682,194.129930,68.045582,0.168430,0,441.37
20260531_170205,50.085,1,Left,407,97.297297,97.297297,97.297297,0.000000,0.010678,0.013737,0.019584,26,0.000000,0.000000,0.598139,0.918419,0.021603,-0.255319,0.598139,0.037826,0.728346,0.000000,0.918419,0.728346,197.032198,75.383469,0.170722,0,411.13
20260531_170205,50.085,1,Right,405,97.283951,98.518519,97.283951,0.000000,0.008387,0.027541,0.019866,25,0.000000,0.000000,0.300312,0.900000,0.026290,-0.087573,0.300312,0.050221,0.653110,0.000000,0.900000,0.653110,193.461067,68.045582,0.167564,0,411.13
20260531_170205,55.086,1,Left,450,97.555556,97.555556,97.555556,0.000000,0.010075,0.012854,0.018661,28,0.000000,0.000000,0.598139,0.918419,0.021493,-0.255319,0.598139,0.036166,0.735033,0.000000,0.918419,0.735033,196.984841,75.383469,0.169633,0,457.94
20260531_170205,55.086,1,Right,448,97.544643,98.660714,97.544643,0.000000,0.008310,0.025371,0.018929,26,0.000000,0.000000,0.300312,0.900000,0.021503,-0.087573,0.300312,0.048940,0.667044,0.000000,0.900000,0.667044,194.551904,68.045582,0.168105,0,457.94
20260531_170205,60.086,1,Left,494,97.773279,97.773279,97.773279,0.000000,0.009574,0.012178,0.017692,34,0.000000,0.000000,0.598139,0.918419,0.021846,-0.255319,0.598139,0.035212,0.739348,0.000000,0.918419,0.739348,196.200222,75.383469,0.167015,0,217.27
20260531_170205,60.086,1,Right,491,97.759674,98.778004,97.759674,0.000000,0.008410,0.026093,0.018534,30,0.000000,0.000000,0.300312,0.900000,0.023697,-0.093608,0.300312,0.052220,0.670663,0.000000,0.900000,0.670663,194.610664,68.045582,0.169780,0,217.27
20260531_170205,65.088,1,Left,536,97.947761,97.947761,97.947761,0.000000,0.009167,0.011692,0.017098,38,0.000000,0.000000,0.598139,0.918419,0.022221,-0.255319,0.598139,0.034540,0.744012,0.000000,0.918419,0.744012,196.130218,75.383469,0.166546,0,231.64
20260531_170205,65.088,1,Right,533,97.936210,98.874296,97.936210,0.000000,0.008653,0.026817,0.018226,31,0.000000,0.000000,0.300312,0.900000,0.025721,-0.093608,0.300312,0.054333,0.671578,0.000000,0.900000,0.671578,193.820426,68.045582,0.169803,0,231.64
20260531_170205,70.094,1,Left,578,98.096886,98.096886,98.096886,0.000000,0.008845,0.011206,0.016557,42,0.000000,0.000000,0.598139,0.918419,0.022233,-0.255319,0.598139,0.033657,0.747271,0.000000,0.918419,0.747271,196.126269,75.383469,0.165932,0,352.52
20260531_170205,70.094,1,Right,574,98.083624,98.954704,98.083624,0.000000,0.008677,0.025288,0.017767,32,0.000000,0.000000,0.300312,0.900000,0.022547,-0.098424,0.300312,0.054419,0.681090,0.000000,0.900000,0.681090,194.805325,68.045582,0.171136,0,352.52
20260531_170205,75.101,1,Left,611,98.199673,98.199673,98.199673,0.000000,0.008787,0.010905,0.016231,44,0.000000,0.000000,0.598139,0.918419,0.022846,-0.255319,0.598139,0.033653,0.749762,0.000000,0.918419,0.749762,195.981829,75.383469,0.165712,0,453.68
20260531_170205,75.101,1,Right,607,98.187809,99.011532,98.187809,0.000000,0.008804,0.026672,0.017544,34,0.000000,0.000000,0.300312,0.900000,0.025610,-0.098424,0.300312,0.055750,0.680269,0.000000,0.900000,0.680269,195.282406,68.045582,0.171687,0,453.68
