run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260531_113548,5.013,1,Left,49,71.428571,71.428571,71.428571,0.000000,0.003745,0.019163,0.027720,1,0.000000,0.000000,0.091742,0.795973,81.975756,53.429133,0.135240,0,277.53
20260531_113548,5.013,1,Right,48,70.833333,87.500000,70.833333,0.000000,0.034986,0.013276,0.072486,1,0.000000,0.000000,0.453354,0.163357,90.016559,48.483747,0.390888,0,277.53
20260531_113548,10.016,1,Left,102,86.274510,86.274510,86.274510,0.000000,0.004384,0.025682,0.038548,3,0.000000,0.000000,0.131838,0.814799,99.086040,53.429133,0.124918,0,458.69
20260531_113548,10.016,1,Right,101,86.138614,94.059406,86.138614,0.000000,0.027101,0.032413,0.059372,4,0.000000,0.000000,0.453354,0.900000,150.743174,48.483747,0.232299,0,458.69
20260531_113548,15.026,1,Left,156,91.025641,91.025641,91.025641,0.000000,0.004357,0.017532,0.030241,5,0.000000,0.000000,0.131838,0.814799,109.483523,53.429133,0.140810,0,253.19
20260531_113548,15.026,1,Right,154,90.909091,96.103896,90.909091,0.000000,0.020671,0.032643,0.047223,7,0.000000,0.000000,0.453354,0.900000,167.387297,48.483747,0.196142,0,253.19
20260531_113548,20.029,1,Left,211,93.364929,93.364929,93.364929,0.000000,0.004570,0.013572,0.025396,7,0.000000,0.000000,0.131838,0.814799,113.132568,53.429133,0.146246,0,451.63
20260531_113548,20.029,1,Right,209,93.301435,97.129187,93.301435,0.000000,0.017188,0.033862,0.044893,9,0.000000,0.000000,0.453354,0.900000,170.460951,48.483747,0.172499,0,451.63
20260531_113548,25.037,1,Left,264,94.696970,94.696970,94.696970,0.000000,0.004775,0.011431,0.022352,10,0.000000,0.000000,0.131838,0.818715,115.544841,53.429133,0.150137,0,229.44
20260531_113548,25.037,1,Right,261,94.636015,97.701149,94.636015,0.000000,0.014345,0.032839,0.039357,12,0.000000,0.000000,0.453354,0.900000,174.335881,48.483747,0.158558,0,229.44
