run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260531_172005,55.058,0,Right,525,97.523810,99.047619,97.523810,0.000000,0.003567,0.038344,0.010650,25,0.000000,0.000000,0.242188,0.900000,0.023391,-0.088665,0.242188,0.026471,0.676298,0.000000,0.900000,0.676298,187.814100,60.627343,0.132441,0,444.03
20260531_172005,60.066,0,Left,578,97.577855,97.577855,97.577855,0.000000,0.004192,0.005900,0.008431,25,0.000000,0.000000,0.149326,0.816334,0.022566,-0.072523,0.149326,0.024707,0.725751,0.000000,0.816334,0.725751,96.531023,51.253754,0.164542,0,451.88
20260531_172005,60.066,0,Right,574,97.735192,99.128920,97.735192,0.000000,0.003485,0.037690,0.010728,27,0.000000,0.000000,0.242188,0.900000,0.023972,-0.088665,0.242188,0.026789,0.681815,0.000000,0.900000,0.681815,188.287668,60.627343,0.131909,0,451.88
20260531_172005,65.072,0,Left,628,97.770701,97.770701,97.770701,0.000000,0.004322,0.005606,0.008403,27,0.000000,0.000000,0.149326,0.816334,0.023268,-0.072523,0.149326,0.025238,0.729995,0.000000,0.816334,0.729995,96.642162,51.253754,0.165124,0,264.57
20260531_172005,65.072,0,Right,624,97.916667,99.198718,97.916667,0.000000,0.003721,0.036862,0.010732,29,0.000000,0.000000,0.242188,0.900000,0.024336,-0.088665,0.242188,0.026927,0.686329,0.000000,0.900000,0.686329,189.545199,60.627343,0.132895,0,264.57
20260531_172005,70.078,0,Left,678,97.935103,97.935103,97.935103,0.000000,0.004445,0.005358,0.008257,30,0.000000,0.000000,0.149326,0.816334,0.024185,-0.072523,0.149326,0.026011,0.733423,0.000000,0.816334,0.733423,96.580889,51.253754,0.165285,0,258.00
20260531_172005,70.078,0,Right,674,98.071217,99.258160,98.071217,0.000000,0.003645,0.037305,0.010599,31,0.000000,0.000000,0.242188,0.900000,0.024130,-0.088665,0.242188,0.026529,0.691964,0.000000,0.900000,0.691964,189.434658,60.627343,0.131242,0,258.00
20260531_172005,75.086,0,Left,725,98.068966,98.068966,98.068966,0.000000,0.004418,0.005170,0.008142,32,0.000000,0.000000,0.149326,0.816334,0.023985,-0.072523,0.149326,0.025692,0.736105,0.000000,0.816334,0.736105,96.631511,51.253754,0.165325,0,449.69
20260531_172005,75.086,0,Right,720,98.194444,99.305556,98.194444,0.000000,0.003670,0.036276,0.010695,33,0.000000,0.000000,0.242188,0.900000,0.024322,-0.088665,0.242188,0.026567,0.695422,0.000000,0.900000,0.695422,191.843479,60.627343,0.133445,0,449.69
20260531_172005,80.091,0,Left,774,98.191214,98.191214,98.191214,0.000000,0.004386,0.004995,0.008005,35,0.000000,0.000000,0.149326,0.816334,0.023746,-0.072523,0.149326,0.025345,0.739383,0.000000,0.816334,0.739383,96.803685,51.253754,0.165722,0,446.96
20260531_172005,80.091,0,Right,769,98.309493,99.349805,98.309493,0.000000,0.003847,0.035996,0.010790,35,0.000000,0.000000,0.242188,0.900000,0.024173,-0.088665,0.242188,0.026569,0.699397,0.000000,0.900000,0.699397,191.666240,60.627343,0.132945,0,446.96
20260531_172005,85.099,0,Left,823,98.298906,98.298906,98.298906,0.000000,0.004357,0.004853,0.007964,37,0.000000,0.000000,0.149326,0.816334,0.023660,-0.072523,0.149326,0.025164,0.741433,0.000000,0.816334,0.741433,96.866417,51.253754,0.165894,0,448.49
20260531_172005,85.099,0,Right,818,98.410758,99.388753,98.410758,0.000000,0.003764,0.035776,0.010748,37,0.000000,0.000000,0.242188,0.900000,0.024518,-0.088665,0.242188,0.026771,0.701091,0.000000,0.900000,0.701091,193.050130,60.627343,0.133998,0,448.49
20260531_172005,90.110,0,Left,873,98.396334,98.396334,98.396334,0.000000,0.004443,0.004723,0.007967,40,0.000000,0.000000,0.149326,0.816334,0.024389,-0.072523,0.149326,0.025807,0.743729,0.000000,0.816334,0.743729,96.866467,51.253754,0.166177,0,256.49
20260531_172005,90.110,0,Right,868,98.502304,99.423963,98.502304,0.000000,0.003822,0.036803,0.010976,38,0.000000,0.000000,0.242188,0.900000,0.024731,-0.088665,0.242188,0.027962,0.699581,0.000000,0.900000,0.699581,192.338326,60.627343,0.133271,0,256.49
20260531_172005,95.115,0,Left,921,98.479913,98.479913,98.479913,0.000000,0.004533,0.004595,0.007890,42,0.000000,0.000000,0.149326,0.816334,0.024741,-0.072523,0.149326,0.026085,0.745485,0.000000,0.816334,0.745485,96.873801,51.253754,0.166300,0,235.23
20260531_172005,95.115,0,Right,915,98.579235,99.453552,98.579235,0.000000,0.003916,0.036519,0.011148,40,0.000000,0.000000,0.242188,0.900000,0.023872,-0.088665,0.242188,0.028113,0.702848,0.000000,0.900000,0.702848,192.388761,60.627343,0.133021,0,235.23
20260531_172005,100.118,0,Left,969,98.555212,98.555212,98.555212,0.000000,0.004501,0.004462,0.007797,44,0.000000,0.000000,0.149326,0.816334,0.024442,-0.072523,0.149326,0.025719,0.746889,0.000000,0.816334,0.746889,96.808053,51.253754,0.166069,0,457.64
20260531_172005,100.118,0,Right,962,98.648649,99.480249,98.648649,0.000000,0.003904,0.036208,0.011010,43,0.000000,0.000000,0.242188,0.900000,0.025149,-0.088665,0.242188,0.029182,0.705399,0.000000,0.900000,0.705399,192.616912,60.627343,0.133830,0,457.64
20260531_172005,105.132,0,Left,1016,98.622047,98.622047,98.622047,0.000000,0.004488,0.004352,0.007754,47,0.000000,0.000000,0.149326,0.816334,0.024405,-0.072523,0.149326,0.025623,0.748638,0.000000,0.816334,0.748638,96.890726,51.253754,0.166302,0,230.75
20260531_172005,105.132,0,Right,1008,98.710317,99.503968,98.710317,0.000000,0.003726,0.036610,0.010876,44,0.000000,0.000000,0.242188,0.900000,0.024001,-0.088665,0.242188,0.027851,0.705315,0.000000,0.900000,0.705315,192.022218,60.627343,0.131531,0,230.75
20260531_172005,110.136,0,Left,1057,98.675497,98.675497,98.675497,0.000000,0.004502,0.004273,0.007704,49,0.000000,0.000000,0.149326,0.816334,0.024350,-0.072523,0.149326,0.025521,0.749737,0.000000,0.816334,0.749737,96.919691,51.253754,0.166216,0,438.00
20260531_172005,110.136,0,Right,1049,98.760724,99.523356,98.760724,0.000000,0.003923,0.035981,0.010886,46,0.000000,0.000000,0.242188,0.900000,0.024476,-0.088665,0.242188,0.029399,0.708649,0.000000,0.900000,0.708649,192.584619,60.627343,0.132912,0,438.00
20260531_172005,115.148,0,Left,1097,98.723792,98.723792,98.723792,0.000000,0.004530,0.004199,0.007669,50,0.000000,0.000000,0.149326,0.816334,0.024525,-0.072523,0.149326,0.025654,0.750743,0.000000,0.816334,0.750743,96.828382,51.253754,0.165860,0,445.30
20260531_172005,115.148,0,Right,1089,98.806244,99.540863,98.806244,0.000000,0.004093,0.036095,0.010919,47,0.000000,0.000000,0.242188,0.900000,0.025725,-0.088665,0.242188,0.031157,0.708129,0.000000,0.900000,0.708129,192.574033,60.627343,0.133591,0,445.30
20260531_172005,120.158,0,Left,1142,98.774081,98.774081,98.774081,0.000000,0.004544,0.004122,0.007687,52,0.000000,0.000000,0.149326,0.816334,0.024889,-0.072523,0.149326,0.025973,0.751704,0.000000,0.816334,0.751704,96.752887,51.253754,0.165575,0,245.80
20260531_172005,120.158,0,Right,1133,98.852604,99.558694,98.852604,0.000000,0.004239,0.035945,0.011007,48,0.000000,0.000000,0.242188,0.900000,0.024374,-0.088665,0.242188,0.031269,0.708219,0.000000,0.900000,0.708219,192.522848,60.627343,0.133234,0,245.80
20260531_172005,125.159,0,Left,1187,98.820556,98.820556,98.820556,0.000000,0.004541,0.004044,0.007653,54,0.000000,0.000000,0.149326,0.816334,0.024904,-0.072523,0.149326,0.025946,0.752709,0.000000,0.816334,0.752709,96.757310,51.253754,0.165535,0,231.13
20260531_172005,125.159,0,Right,1177,98.895497,99.575191,98.895497,0.000000,0.004218,0.035865,0.010927,50,0.000000,0.000000,0.242188,0.900000,0.025209,-0.088665,0.242188,0.031846,0.710020,0.000000,0.900000,0.710020,192.660507,60.627343,0.133483,0,231.13
20260531_172005,130.164,0,Left,1231,98.862713,98.862713,98.862713,0.000000,0.004545,0.003998,0.007646,56,0.000000,0.000000,0.149326,0.816334,0.024862,-0.072523,0.149326,0.025868,0.753372,0.000000,0.816334,0.753372,96.644728,51.253754,0.165166,0,460.46
20260531_172005,130.164,0,Right,1221,98.935299,99.590500,98.935299,0.000000,0.004146,0.035883,0.010894,55,0.000000,0.000000,0.242188,0.900000,0.025705,-0.088665,0.242188,0.032103,0.711048,0.000000,0.900000,0.711048,192.915048,60.627343,0.133860,0,460.46
