run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260603_225053,5.002,1,Left,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,406.27
20260603_225053,5.002,1,Right,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,406.27
20260603_225053,10.009,1,Left,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,433.52
20260603_225053,10.009,1,Right,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,433.52
20260603_225053,15.013,1,Left,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,465.46
20260603_225053,15.013,1,Right,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,465.46
20260603_225053,20.015,1,Left,41,56.097561,56.097561,56.097561,0.000000,0.007234,0.019689,0.010165,1,0.000000,0.000000,0.079597,0.746030,-0.018316,-0.079597,0.068708,0.021668,0.308905,0.000000,0.746030,0.308905,87.060728,66.067653,20.993075,0.128274,0,453.44
20260603_225053,20.015,1,Right,40,55.000000,80.000000,55.000000,0.000000,0.016246,0.025031,0.019243,3,0.000000,0.000000,0.236422,0.855564,0.020595,0.000000,0.236422,0.020595,0.348588,0.000000,0.855564,0.348588,102.601826,72.735207,28.442133,0.128388,0,453.44
20260603_225053,25.023,1,Left,97,81.443299,81.443299,81.443299,0.000000,0.025854,0.027781,0.049886,5,0.000000,0.000000,0.722309,0.900000,0.007111,-0.363830,0.722309,0.075838,0.557942,0.000000,0.900000,0.557942,109.321722,51.026086,44.165230,0.196070,0,444.69
20260603_225053,25.023,1,Right,93,80.645161,91.397849,80.645161,0.000000,0.010166,0.027340,0.008630,4,0.000000,0.000000,0.236422,0.855564,0.013615,-0.066770,0.236422,0.031342,0.520171,0.000000,0.855564,0.520171,94.640201,72.735207,20.338605,0.116197,0,444.69
20260603_225053,30.030,1,Left,150,88.000000,88.000000,88.000000,0.000000,0.028417,0.023161,0.043425,9,0.000000,0.000000,0.722309,0.900000,0.020090,-0.363830,0.722309,0.076916,0.658482,0.000000,0.900000,0.658482,129.065536,51.026086,63.543199,0.228014,0,458.19
20260603_225053,30.030,1,Right,146,87.671233,94.520548,87.671233,0.000000,0.014149,0.025279,0.012982,8,0.000000,0.000000,0.469176,0.868686,0.001085,-0.469176,0.236422,0.057707,0.607811,0.000000,0.868686,0.607811,106.496375,63.137093,32.384257,0.161125,0,458.19
