run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260803_232747,5.013,1,Left,49,100.000000,100.000000,100.000000,2.040816,0.012063,0.044206,0.016332,10,0.000000,0.000000,0.114769,0.935394,-0.005468,-0.106991,0.114769,0.060180,0.677120,0.240054,0.935394,0.677120,13.164407,13.703912,14.696057,-195.551224,-0.054381,-226.885422,32.704293,34.126291,6.497046,174.147511,76.059200,94.107483,0.206784,0,0.638308,68.187245,3.358200,4.294074,364.15
20260803_232747,5.013,1,Right,49,100.000000,100.000000,100.000000,12.244898,0.009730,0.067752,0.019143,6,0.000000,0.000000,0.124096,0.910844,-0.010851,-0.124096,0.087649,0.058123,0.628526,0.245116,0.910844,0.628526,13.371827,13.708654,-15.136497,-196.838089,-0.054381,-226.885422,32.704293,34.126291,3.620166,164.888848,75.930810,94.505965,0.227128,0,0.638308,68.187245,3.358200,4.294074,364.15
20260803_232747,10.016,1,Left,100,100.000000,100.000000,100.000000,5.000000,0.009693,0.032601,0.012054,12,0.000000,0.000000,0.114769,0.936450,0.021222,-0.106991,0.114769,0.060894,0.765936,0.240054,0.936450,0.765936,16.411444,15.533686,13.553509,-291.584503,-16.374836,-314.428711,35.990949,34.376550,8.225457,188.303730,76.059200,107.955084,0.242663,0,0.713877,156.196778,2.158561,4.921569,221.74
20260803_232747,10.016,1,Right,100,100.000000,90.000000,100.000000,18.000000,0.008523,0.060730,0.011740,7,0.000000,0.000000,0.124096,0.910844,0.014866,-0.124096,0.104972,0.049568,0.703019,0.245116,0.910844,0.703019,15.823541,15.536012,-25.031139,-284.555023,-16.374836,-314.428711,35.990949,34.376550,2.237720,165.199704,75.930810,94.816822,0.247358,0,0.713877,156.196778,2.158561,4.921569,221.74
20260803_232747,15.027,1,Left,153,97.385621,100.000000,97.385621,9.803922,0.008044,0.042126,0.010491,13,0.000000,0.000000,0.114769,0.936450,0.015718,-0.106991,0.114769,0.048739,0.755575,0.012769,0.936450,0.755575,16.717604,16.142793,-14.706543,-372.943054,-54.830959,-397.118378,38.479246,37.658061,16.971905,194.121584,76.059200,113.675426,0.247831,0,0.610090,178.650281,5.130150,9.850133,306.13
20260803_232747,15.027,1,Right,152,99.342105,93.421053,99.342105,21.052632,0.006750,0.062940,0.009267,13,0.000000,0.000000,0.124096,0.910844,0.018311,-0.124096,0.104972,0.041141,0.710223,0.202120,0.910844,0.710223,16.472910,16.136764,-54.597580,-368.647797,-54.830959,-397.118378,38.479246,37.658061,1.740632,162.789265,75.930810,92.406382,0.246193,0,0.610090,178.650281,5.130150,9.850133,306.13
20260803_232747,20.033,1,Left,203,92.118227,96.059113,92.118227,12.315271,0.007876,0.046935,0.010632,16,0.000000,0.000000,0.114769,0.936450,0.015647,-0.106991,0.114769,0.046863,0.706518,0.000009,0.936450,0.706518,16.015115,16.426122,-48.238930,-433.219086,-112.043518,-466.748932,58.233838,66.722277,43.609545,205.293650,76.059200,124.807053,0.259011,0,0.147115,874.345008,25.132239,31.375018,235.42
20260803_232747,20.033,1,Right,201,92.537313,87.562189,92.537313,20.895522,0.006712,0.060939,0.008837,17,0.000000,0.000000,0.124096,0.920368,0.024545,-0.124096,0.122560,0.041810,0.646727,0.000001,0.920368,0.646727,15.079230,16.418706,-83.785103,-412.276154,-112.043518,-466.748932,58.233838,66.722277,32.425033,166.531243,75.930810,96.148360,0.252688,0,0.147115,874.345008,25.132239,31.375018,235.42
20260803_232747,25.034,1,Left,252,93.253968,96.428571,93.253968,17.857143,0.009148,0.053596,0.012490,19,0.000000,0.000000,0.340708,0.936450,0.019672,-0.106991,0.340708,0.047978,0.705164,0.000009,0.936450,0.705164,16.024384,16.602394,-90.512459,-500.019012,-184.127075,-519.637695,77.774423,75.841678,66.681051,249.761493,76.059200,169.242508,0.279699,0,0.127033,1891.744441,27.341480,41.572046,267.99
20260803_232747,25.034,1,Right,249,93.975904,89.959839,93.975904,17.670683,0.006483,0.053731,0.008314,20,0.000000,0.000000,0.124096,0.940960,0.018078,-0.124096,0.122560,0.040237,0.692499,0.000001,0.940960,0.692499,16.013840,16.595081,-165.140533,-466.917267,-184.127075,-519.637695,77.774423,75.841678,27.172459,204.678063,75.930810,134.295180,0.272268,0,0.127033,1891.744441,27.341480,41.572046,267.99
20260803_232747,30.039,1,Left,297,94.276094,88.888889,94.276094,18.518519,0.011364,0.053161,0.015569,27,0.000000,0.000000,0.391658,0.938755,0.021045,-0.120005,0.391658,0.059875,0.722674,0.000009,0.938755,0.722674,16.476215,16.705782,-177.234695,-517.926514,-266.672943,-553.039673,69.121775,82.475967,69.620995,281.706681,76.059200,201.167418,0.301271,0,0.099756,906.645595,37.566468,52.896311,221.15
20260803_232747,30.039,1,Right,294,90.816327,83.673469,90.816327,18.707483,0.006394,0.057841,0.008214,21,0.000000,0.000000,0.124096,0.940960,0.021849,-0.124096,0.122560,0.040616,0.669195,0.000001,0.940960,0.669195,15.614107,16.700643,-217.555038,-504.767273,-267.020844,-553.132202,69.121775,82.475967,59.556496,222.376998,75.930810,151.994115,0.284467,0,0.099756,906.645595,37.566468,52.896311,221.15
20260803_232747,35.043,1,Left,344,95.058140,86.627907,95.058140,17.151163,0.013264,0.050651,0.019493,34,0.000000,0.000000,0.391658,0.949617,0.013320,-0.341988,0.391658,0.072368,0.731839,0.000009,0.949617,0.731839,16.757971,16.784757,-252.074112,-564.831726,-356.332123,-565.173645,77.955935,81.224439,79.541158,286.371573,76.059200,205.817090,0.311076,0,0.090545,1600.995329,34.450055,48.923156,195.06
20260803_232747,35.043,1,Right,340,92.058824,85.000000,92.058824,16.764706,0.006112,0.053925,0.007901,24,0.000000,0.000000,0.124096,0.941487,0.020134,-0.124096,0.122560,0.037800,0.694575,0.000001,0.941487,0.694575,16.146991,16.779552,-312.550903,-526.841980,-356.332123,-565.173645,77.955935,81.224439,29.216943,240.042063,75.930810,169.659180,0.290758,0,0.090545,1600.995329,34.450055,48.923156,195.06
20260803_232747,40.047,1,Left,392,95.663265,84.693878,95.663265,18.367347,0.014276,0.055407,0.020311,43,0.000000,0.000000,0.391658,0.949617,0.013083,-0.341988,0.391658,0.074234,0.727743,0.000009,0.949617,0.727743,16.628072,16.846837,-323.976959,-588.410706,-445.835663,-554.656128,87.976147,81.764781,101.020022,292.425164,76.059200,211.859073,0.312110,0,0.123551,1086.927080,35.193197,58.518158,342.62
