run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_154014,5.011,1,Left,48,64.583333,64.583333,64.583333,0.000000,0.002627,0.016804,0.016275,1,0.000000,0.000000,0.099660,0.806588,-0.028550,-0.099660,0.000000,0.028550,0.194813,0.000000,0.806588,0.194813,101.991793,64.504652,31.897642,0.141731,0,462.95
20260607_154014,5.011,1,Right,47,63.829787,82.978723,63.829787,0.000000,0.007163,0.006215,0.013535,1,0.000000,0.000000,0.176996,0.104791,0.038764,0.000000,0.176996,0.038764,0.012289,0.000000,0.104791,0.012289,113.906964,75.492602,71.531048,0.349124,0,462.95
20260607_154014,10.017,1,Left,101,83.168317,83.168317,83.168317,0.000000,0.004580,0.009389,0.017131,2,0.000000,0.000000,0.131619,0.900000,0.009583,-0.099660,0.131619,0.040138,0.541832,0.000000,0.900000,0.541832,196.431263,64.504652,118.573040,0.244693,0,411.73
20260607_154014,10.017,1,Right,100,83.000000,92.000000,83.000000,0.000000,0.006443,0.011209,0.015854,2,0.000000,0.000000,0.176996,0.900000,0.004766,-0.089660,0.176996,0.041955,0.472447,0.000000,0.900000,0.472447,297.324886,75.492602,166.328179,0.286219,0,411.73
20260607_154014,15.018,1,Left,146,88.356164,88.356164,88.356164,0.000000,0.004924,0.006619,0.013737,5,0.000000,0.000000,0.131619,0.900000,0.013702,-0.099660,0.131619,0.034839,0.651955,0.000000,0.900000,0.651955,224.292174,64.504652,144.849794,0.267669,0,219.77
20260607_154014,15.018,1,Right,145,88.275862,94.482759,88.275862,0.000000,0.005107,0.008825,0.013217,3,0.000000,0.000000,0.176996,0.900000,0.012237,-0.089660,0.176996,0.037885,0.588624,0.000000,0.900000,0.588624,315.687889,75.492602,167.055853,0.260960,0,219.77
20260607_154014,20.020,1,Left,199,91.457286,91.457286,91.457286,0.000000,0.004900,0.005531,0.011477,8,0.000000,0.000000,0.131619,0.900000,0.020207,-0.099660,0.131619,0.035715,0.714542,0.000000,0.900000,0.714542,230.278483,64.504652,149.974972,0.277131,0,425.82
20260607_154014,20.020,1,Right,197,91.370558,95.939086,91.370558,0.000000,0.004688,0.024967,0.011171,5,0.000000,0.000000,0.176996,0.900000,0.022575,-0.089660,0.176996,0.041452,0.597416,0.000000,0.900000,0.597416,288.501078,75.492602,130.472242,0.218195,0,425.82
20260607_154014,25.030,1,Left,250,93.200000,93.200000,93.200000,0.000000,0.004996,0.004763,0.010267,11,0.000000,0.000000,0.131619,0.900000,0.020701,-0.099660,0.131619,0.033045,0.744736,0.000000,0.900000,0.744736,226.147874,64.504652,145.385590,0.276243,0,450.37
20260607_154014,25.030,1,Right,248,93.145161,96.774194,93.145161,0.000000,0.003999,0.021556,0.010006,6,0.000000,0.000000,0.176996,0.900000,0.018433,-0.089660,0.176996,0.033428,0.636828,0.000000,0.900000,0.636828,282.509921,75.492602,119.374333,0.198961,0,450.37
20260607_154014,30.035,1,Left,305,94.426230,94.426230,94.426230,0.000000,0.005037,0.004341,0.009495,14,0.000000,0.000000,0.131619,0.900000,0.022259,-0.099660,0.131619,0.032377,0.756343,0.000000,0.900000,0.756343,212.666792,64.504652,131.591850,0.264970,0,466.81
20260607_154014,30.035,1,Right,302,94.370861,97.350993,94.370861,0.000000,0.004097,0.023341,0.010982,7,0.000000,0.000000,0.176996,0.900000,0.023742,-0.089660,0.176996,0.036056,0.631759,0.000000,0.900000,0.631759,278.675912,75.492602,112.156980,0.189701,0,466.81
20260607_154014,35.035,1,Left,360,95.277778,95.277778,95.277778,0.000000,0.004780,0.003985,0.008799,17,0.000000,0.000000,0.131619,0.900000,0.021577,-0.099660,0.131619,0.030149,0.760593,0.000000,0.900000,0.760593,199.851140,64.504652,118.563810,0.251167,0,460.05
20260607_154014,35.035,1,Right,357,95.238095,97.759104,95.238095,0.000000,0.003466,0.019807,0.010082,8,0.000000,0.000000,0.176996,0.900000,0.020084,-0.089660,0.176996,0.030501,0.672972,0.000000,0.900000,0.672972,286.572107,75.492602,117.684860,0.190357,0,460.05
20260607_154014,40.036,1,Left,416,95.913462,95.913462,95.913462,0.000000,0.004808,0.003698,0.008378,19,0.000000,0.000000,0.131619,0.900000,0.023155,-0.099660,0.131619,0.030573,0.763100,0.000000,0.900000,0.763100,190.000038,64.504652,108.556618,0.240805,0,449.17
20260607_154014,40.036,1,Right,412,95.873786,98.058252,95.873786,0.000000,0.003485,0.023938,0.010711,9,0.000000,0.000000,0.176996,0.900000,0.023638,-0.089660,0.176996,0.032665,0.672616,0.000000,0.900000,0.672616,279.168255,75.492602,108.572225,0.181415,0,449.17
20260607_154014,45.048,1,Left,474,96.413502,96.413502,96.413502,0.000000,0.004819,0.003456,0.008168,22,0.000000,0.000000,0.131619,0.900000,0.023580,-0.099660,0.131619,0.030091,0.765789,0.000000,0.900000,0.765789,182.956787,64.504652,101.392030,0.233567,0,226.78
20260607_154014,45.048,1,Right,469,96.375267,98.294243,96.375267,0.000000,0.003557,0.021213,0.011082,10,0.000000,0.000000,0.176996,0.900000,0.020614,-0.089660,0.176996,0.030308,0.698783,0.000000,0.900000,0.698783,280.279381,75.492602,108.351242,0.180323,0,226.78
20260607_154014,50.060,1,Left,533,96.810507,96.810507,96.810507,0.000000,0.004627,0.003298,0.007817,25,0.000000,0.000000,0.131619,0.900000,0.022614,-0.099660,0.131619,0.028404,0.767656,0.000000,0.900000,0.767656,177.245672,64.504652,95.585472,0.227447,0,235.66
20260607_154014,50.060,1,Right,528,96.780303,98.484848,96.780303,0.000000,0.003689,0.021856,0.012199,11,0.000000,0.000000,0.176996,0.900000,0.024370,-0.089660,0.176996,0.032981,0.693534,0.000000,0.900000,0.693534,276.421965,75.492602,103.427983,0.176253,0,235.66
