run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_184244,5.004,1,Left,48,66.666667,66.666667,66.666667,0.000000,0.002445,0.017758,0.015976,0,0.000000,0.000000,0.116580,0.724407,-0.020047,-0.116580,0.000000,0.020047,0.078779,0.000000,0.724407,0.078779,73.621917,51.821485,19.668093,0.148412,0,213.30
20260607_184244,5.004,1,Right,48,66.666667,83.333333,66.666667,0.000000,0.001896,0.000582,0.015719,0,0.000000,0.000000,0.091002,0.021840,0.011486,0.000000,0.091002,0.011486,0.002072,0.000000,0.021840,0.002072,81.769024,56.435057,82.231472,0.497707,0,213.30
20260607_184244,10.008,1,Left,99,83.838384,83.838384,83.838384,0.000000,0.004441,0.010849,0.015435,2,0.000000,0.000000,0.116580,0.857089,0.011672,-0.116580,0.106052,0.041469,0.458882,0.000000,0.857089,0.458882,134.875943,51.821485,62.196245,0.212300,0,457.84
20260607_184244,10.008,1,Right,99,83.838384,90.909091,83.838384,0.000000,0.003705,0.009647,0.014696,2,0.000000,0.000000,0.120878,0.863383,0.005472,-0.112209,0.120878,0.030725,0.380543,0.000000,0.863383,0.380543,226.617430,56.435057,126.737826,0.326833,0,457.84
20260607_184244,15.011,1,Left,151,89.403974,89.403974,89.403974,0.000000,0.003775,0.018951,0.011420,6,0.000000,0.000000,0.116580,0.870850,0.016038,-0.116580,0.106052,0.035573,0.578954,0.000000,0.870850,0.578954,156.423436,51.821485,79.625677,0.230635,0,450.52
20260607_184244,15.011,1,Right,150,89.333333,94.000000,89.333333,0.000000,0.003739,0.007482,0.013757,3,0.000000,0.000000,0.120878,0.865192,0.012305,-0.112209,0.120878,0.031371,0.526341,0.000000,0.865192,0.526341,255.200477,56.435057,130.916652,0.283691,0,450.52
20260607_184244,20.016,1,Left,205,92.195122,92.195122,92.195122,0.000000,0.003825,0.014506,0.009410,9,0.000000,0.000000,0.116580,0.870850,0.017806,-0.116580,0.106052,0.032196,0.649846,0.000000,0.870850,0.649846,168.325417,51.821485,89.347228,0.242909,0,416.85
20260607_184244,20.016,1,Right,204,92.156863,95.588235,92.156863,0.000000,0.004144,0.018134,0.012991,5,0.000000,0.000000,0.120878,0.865192,0.022162,-0.112209,0.120878,0.036181,0.551453,0.000000,0.865192,0.551453,247.346135,56.435057,111.654330,0.247193,0,416.85
20260607_184244,25.022,1,Left,258,93.798450,93.798450,93.798450,0.000000,0.003577,0.011957,0.008336,12,0.000000,0.000000,0.116580,0.870850,0.020553,-0.116580,0.106052,0.031987,0.682464,0.000000,0.870850,0.682464,166.559297,51.821485,86.387278,0.241027,0,246.69
20260607_184244,25.022,1,Right,256,93.750000,96.484375,93.750000,0.000000,0.003302,0.014897,0.011173,6,0.000000,0.000000,0.120878,0.865192,0.017660,-0.112209,0.120878,0.028832,0.601493,0.000000,0.865192,0.601493,253.274612,56.435057,111.449258,0.231482,0,246.69
20260607_184244,30.023,1,Left,315,94.920635,94.920635,94.920635,0.000000,0.003587,0.010212,0.007510,15,0.000000,0.000000,0.116580,0.870850,0.020275,-0.116580,0.106052,0.029639,0.701867,0.000000,0.870850,0.701867,162.691746,51.821485,81.708145,0.235626,0,247.69
20260607_184244,30.023,1,Right,312,94.871795,93.589744,94.871795,0.000000,0.003482,0.021544,0.011581,7,0.000000,0.000000,0.157158,0.865192,0.023987,-0.112209,0.157158,0.033153,0.590925,0.000000,0.865192,0.590925,245.886766,56.435057,99.866115,0.212349,0,247.69
