run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_184713,5.010,1,Left,55,72.727273,72.727273,72.727273,0.000000,0.002094,0.000000,0.012844,1,0.000000,0.000000,0.114014,0.000000,-0.021129,-0.114014,0.000000,0.021129,0.000000,0.000000,0.000000,0.000000,73.952895,50.911607,113.902218,0.716781,0,453.44
20260607_184713,5.010,1,Right,54,72.222222,85.185185,72.222222,0.000000,0.001730,0.000562,0.014173,0,0.000000,0.000000,0.093441,0.023698,0.013253,0.000000,0.093441,0.013253,0.002606,0.000000,0.023698,0.002606,82.373412,53.771072,103.162503,0.627619,0,453.44
20260607_184713,10.012,1,Left,106,85.849057,85.849057,85.849057,0.000000,0.003123,0.008835,0.013197,2,0.000000,0.000000,0.114014,0.865327,-0.007291,-0.114014,0.103028,0.029707,0.319639,0.000000,0.865327,0.319639,227.176565,50.911607,145.093289,0.433791,0,408.24
20260607_184713,10.012,1,Right,105,85.714286,92.380952,85.714286,0.000000,0.004407,0.010616,0.013347,2,0.000000,0.000000,0.187700,0.929452,0.008144,-0.187700,0.093441,0.028558,0.340677,0.000000,0.929452,0.340677,219.602635,53.771072,125.993895,0.385542,0,408.24
20260607_184713,15.025,1,Left,158,90.506329,90.506329,90.506329,0.000000,0.003502,0.006638,0.010649,5,0.000000,0.000000,0.114014,0.883536,0.010621,-0.114014,0.103028,0.035442,0.500073,0.000000,0.883536,0.500073,319.507157,50.911607,198.961394,0.383398,0,244.61
20260607_184713,15.025,1,Right,155,90.322581,94.838710,90.322581,0.000000,0.004226,0.008345,0.013041,2,0.000000,0.000000,0.187700,0.929452,0.010354,-0.187700,0.093441,0.027759,0.491098,0.000000,0.929452,0.491098,260.771261,53.771072,134.331387,0.321228,0,244.61
20260607_184713,20.032,1,Left,209,92.822967,92.822967,92.822967,0.000000,0.003460,0.005586,0.008999,9,0.000000,0.000000,0.114014,0.885708,0.014777,-0.114014,0.103028,0.033542,0.591428,0.000000,0.885708,0.591428,367.538681,50.911607,229.298192,0.360382,0,234.61
20260607_184713,20.032,1,Right,205,92.682927,96.097561,92.682927,0.000000,0.003729,0.012800,0.011323,5,0.000000,0.000000,0.187700,0.929452,0.019304,-0.187700,0.093441,0.032464,0.528660,0.000000,0.929452,0.528660,258.165283,53.771072,116.173819,0.275908,0,234.61
20260607_184713,25.034,1,Left,263,94.296578,94.296578,94.296578,0.000000,0.003579,0.004948,0.008046,12,0.000000,0.000000,0.114014,0.887429,0.016445,-0.114014,0.103028,0.031356,0.650445,0.000000,0.887429,0.650445,400.572438,50.911607,251.528765,0.347143,0,447.44
20260607_184713,25.034,1,Right,258,94.186047,96.899225,94.186047,0.000000,0.003235,0.010804,0.009980,6,0.000000,0.000000,0.187700,0.929452,0.017900,-0.187700,0.093441,0.028356,0.576060,0.000000,0.929452,0.576060,258.695062,53.771072,107.206249,0.246952,0,447.44
20260607_184713,30.043,1,Left,291,94.845361,94.845361,94.845361,0.000000,0.003593,0.004683,0.007598,14,0.000000,0.000000,0.114014,0.892581,0.017365,-0.114014,0.103028,0.030842,0.673366,0.000000,0.892581,0.673366,416.655519,50.911607,263.674453,0.343420,0,450.37
20260607_184713,30.043,1,Right,285,94.736842,97.192982,94.736842,0.000000,0.003024,0.014885,0.009241,9,0.000000,0.000000,0.187700,0.929452,0.022198,-0.187700,0.093441,0.031664,0.561991,0.000000,0.929452,0.561991,255.057964,53.771072,100.164440,0.234139,0,450.37
20260607_184713,35.055,1,Left,291,94.845361,94.845361,94.845361,0.000000,0.003593,0.004683,0.007598,14,0.000000,0.000000,0.114014,0.892581,0.017365,-0.114014,0.103028,0.030842,0.673366,0.000000,0.892581,0.673366,416.655519,50.911607,263.674453,0.343420,0,456.65
20260607_184713,35.055,1,Right,285,94.736842,97.192982,94.736842,0.000000,0.003024,0.014885,0.009241,9,0.000000,0.000000,0.187700,0.929452,0.022198,-0.187700,0.093441,0.031664,0.561991,0.000000,0.929452,0.561991,255.057964,53.771072,100.164440,0.234139,0,456.65
