run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_161952,5.010,1,Left,44,56.818182,56.818182,56.818182,0.000000,0.002355,0.021681,0.017628,1,0.000000,0.000000,0.098661,0.756404,-0.012941,-0.098661,0.000000,0.012941,0.209509,0.000000,0.756404,0.209509,67.076888,50.556899,13.445969,0.095473,0,447.20
20260607_161952,5.010,1,Right,43,55.813953,62.790698,55.813953,0.000000,0.028484,0.023757,0.028860,1,0.000000,0.000000,0.500000,0.822628,0.018099,-0.500000,0.171225,0.072943,0.198989,0.000000,0.822628,0.198989,68.542669,53.711947,13.808898,0.126222,0,447.20
20260607_161952,10.020,1,Left,96,80.208333,80.208333,80.208333,0.000000,0.015375,0.026470,0.054724,5,0.000000,0.000000,0.470657,0.900000,0.010278,-0.125399,0.470657,0.044808,0.497125,0.000000,0.900000,0.497125,82.730941,47.017091,27.029075,0.167081,0,246.36
20260607_161952,10.020,1,Right,94,79.787234,79.787234,79.787234,0.000000,0.020937,0.023351,0.040017,2,0.000000,0.000000,0.500000,0.883717,-0.005554,-0.500000,0.257523,0.085153,0.483681,0.000000,0.883717,0.483681,82.638719,53.093194,27.476210,0.177996,0,246.36
20260607_161952,15.031,1,Left,142,86.619718,86.619718,86.619718,0.000000,0.013163,0.018821,0.043326,6,0.000000,0.000000,0.470657,0.900000,0.021223,-0.125399,0.470657,0.051831,0.613327,0.000000,0.900000,0.613327,99.607448,47.017091,43.347118,0.208424,0,457.19
20260607_161952,15.031,1,Right,139,86.330935,77.697842,86.330935,0.000000,0.020865,0.022887,0.042503,4,0.000000,0.000000,0.500000,0.943129,0.002606,-0.500000,0.329154,0.104916,0.575333,0.000000,0.943129,0.575333,122.815320,51.042065,67.800677,0.236377,0,457.19
20260607_161952,20.034,1,Left,191,90.052356,90.052356,90.052356,0.000000,0.009786,0.014675,0.032346,7,0.000000,0.000000,0.470657,0.900000,0.015778,-0.125399,0.470657,0.038534,0.660598,0.000000,0.900000,0.660598,101.432131,47.017091,44.905486,0.205168,0,451.24
20260607_161952,20.034,1,Right,188,89.893617,80.319149,89.893617,0.000000,0.016880,0.017016,0.035476,5,0.000000,0.000000,0.500000,0.943129,0.017046,-0.500000,0.329154,0.092689,0.659671,0.000000,0.943129,0.659671,147.686292,51.042065,92.543402,0.265901,0,451.24
20260607_161952,25.045,1,Left,243,92.181070,92.181070,92.181070,0.000000,0.010699,0.012952,0.032349,11,0.000000,0.000000,0.470657,0.900000,0.019884,-0.125399,0.470657,0.037770,0.690883,0.000000,0.900000,0.690883,99.128739,47.017091,42.446905,0.203504,0,371.74
20260607_161952,25.045,1,Right,238,92.016807,82.773109,92.016807,0.000000,0.014282,0.014516,0.029687,7,0.000000,0.000000,0.500000,0.943129,0.024155,-0.500000,0.329154,0.083907,0.679062,0.000000,0.943129,0.679062,132.828291,51.042065,77.613694,0.244319,0,371.74
20260607_161952,30.049,1,Left,292,93.493151,93.493151,93.493151,0.000000,0.015790,0.019548,0.040379,16,0.000000,0.000000,0.470657,0.900000,0.026389,-0.125399,0.470657,0.042692,0.686053,0.000000,0.900000,0.686053,95.486744,44.842250,38.930577,0.200102,0,256.96
20260607_161952,30.049,1,Right,287,93.379791,84.668990,93.379791,0.000000,0.015697,0.017590,0.034773,10,0.000000,0.000000,0.500000,0.943129,0.014617,-0.500000,0.329154,0.083258,0.680552,0.000000,0.943129,0.680552,122.414949,38.056182,67.412892,0.229499,0,256.96
20260607_161952,35.052,1,Left,339,94.395280,92.035398,94.395280,0.000000,0.016273,0.019711,0.044747,18,0.000000,0.000000,0.470657,0.900000,0.022152,-0.211208,0.470657,0.056549,0.707607,0.000000,0.900000,0.707607,100.907966,44.842250,44.257948,0.215859,0,219.86
20260607_161952,35.052,1,Right,333,94.294294,82.582583,94.294294,0.000000,0.016913,0.016172,0.038103,12,0.000000,0.000000,0.500000,0.950000,0.015829,-0.500000,0.395898,0.098740,0.704770,0.000000,0.950000,0.704770,123.069650,38.056182,68.000950,0.244894,0,219.86
