run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260531_163258,5.001,0,Left,33,54.545455,51.515152,54.545455,0.000000,0.007602,0.000606,0.047631,2,0.000000,0.000000,0.125436,0.020010,-0.030409,-0.125436,0.000000,0.030409,0.001213,0.000000,0.020010,0.001213,128.578351,103.008492,0.459644,0,423.50
20260531_163258,5.001,0,Right,33,54.545455,51.515152,54.545455,0.000000,0.035451,0.006000,0.082869,2,0.000000,0.000000,0.355463,0.099000,0.043239,-0.355463,0.310007,0.124671,0.003000,0.000000,0.099000,0.003000,139.424914,122.978540,0.484077,0,423.50
20260531_163258,10.011,0,Left,73,79.452055,78.082192,79.452055,0.000000,0.004952,0.013731,0.024621,3,0.000000,0.000000,0.125436,0.809306,-0.010847,-0.125436,0.110605,0.016646,0.285834,0.000000,0.809306,0.285834,261.410952,103.008492,0.240566,0,216.48
20260531_163258,10.011,0,Right,72,79.166667,77.777778,79.166667,0.000000,0.020567,0.015254,0.041562,5,0.000000,0.000000,0.355463,0.805143,0.016177,-0.355463,0.310007,0.064945,0.289964,0.000000,0.805143,0.289964,283.762292,122.978540,0.260734,0,216.48
20260531_163258,15.012,0,Left,112,86.607143,85.714286,86.607143,0.000000,0.005278,0.011242,0.020567,5,0.000000,0.000000,0.132177,0.856437,0.008598,-0.125436,0.132177,0.026518,0.468493,0.000000,0.856437,0.468493,322.974441,103.008492,0.215935,0,452.85
20260531_163258,15.012,0,Right,111,86.486486,85.585586,86.486486,0.000000,0.025890,0.014192,0.052280,9,0.000000,0.000000,0.355463,0.937189,0.000043,-0.355463,0.310007,0.062431,0.474100,0.000000,0.937189,0.474100,340.314557,122.978540,0.228574,0,452.85
20260531_163258,20.026,0,Left,153,90.196078,89.542484,90.196078,0.000000,0.005493,0.009912,0.017827,8,0.000000,0.000000,0.132177,0.900000,0.017146,-0.125436,0.132177,0.030263,0.579514,0.000000,0.900000,0.579514,372.252456,103.008492,0.218353,0,220.65
20260531_163258,20.026,0,Right,152,90.131579,89.473684,90.131579,0.000000,0.022053,0.019854,0.040878,11,0.000000,0.000000,0.355463,0.937189,0.015034,-0.355463,0.310007,0.060593,0.508420,0.000000,0.937189,0.508420,345.190181,122.978540,0.197512,0,220.65
20260531_163258,25.038,0,Left,196,92.346939,91.836735,92.346939,0.000000,0.005098,0.009673,0.015878,13,0.000000,0.000000,0.132177,0.900000,0.017852,-0.125436,0.132177,0.028091,0.641938,0.000000,0.900000,0.641938,393.954507,103.008492,0.215348,0,178.14
20260531_163258,25.038,0,Right,195,92.307692,91.794872,92.307692,0.000000,0.017190,0.019316,0.032748,12,0.000000,0.000000,0.355463,0.937189,0.011718,-0.355463,0.310007,0.047232,0.548833,0.000000,0.937189,0.548833,349.548677,122.978540,0.173993,0,178.14
20260531_163258,30.038,0,Left,239,93.723849,93.305439,93.723849,0.000000,0.005052,0.009230,0.015173,15,0.000000,0.000000,0.132177,0.900000,0.019521,-0.125436,0.132177,0.027919,0.684043,0.000000,0.900000,0.684043,407.128566,103.008492,0.214252,0,232.53
20260531_163258,30.038,0,Right,237,93.670886,93.248945,93.670886,0.000000,0.015180,0.023887,0.028647,14,0.000000,0.000000,0.355463,0.937189,0.016665,-0.355463,0.310007,0.045885,0.576168,0.000000,0.937189,0.576168,347.910620,122.978540,0.159229,0,232.53
20260531_163258,35.047,0,Left,278,94.604317,94.244604,94.604317,0.000000,0.005202,0.008366,0.014185,18,0.000000,0.000000,0.132177,0.900000,0.020715,-0.125436,0.132177,0.027934,0.712507,0.000000,0.900000,0.712507,420.433002,103.008492,0.215540,0,445.73
20260531_163258,35.047,0,Right,276,94.565217,94.202899,94.565217,0.000000,0.013953,0.030144,0.026994,15,0.000000,0.000000,0.355463,0.937189,0.020659,-0.355463,0.310007,0.045750,0.569337,0.000000,0.937189,0.569337,349.017303,122.978540,0.152039,0,445.73
