run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_183928,5.008,1,Left,57,71.929825,71.929825,71.929825,0.000000,0.001969,0.000000,0.012663,2,0.000000,0.000000,0.111940,0.000000,-0.019952,-0.111940,0.000000,0.019952,0.000000,0.000000,0.000000,0.000000,71.128214,50.016677,65.550165,0.451313,0,272.92
20260607_183928,5.008,1,Right,57,71.929825,85.964912,71.929825,0.000000,0.001614,0.000507,0.013564,0,0.000000,0.000000,0.091989,0.022598,0.010941,0.000000,0.091989,0.010941,0.002324,0.000000,0.022598,0.002324,79.484433,54.447059,133.822018,0.800221,0,272.92
20260607_183928,10.016,1,Left,118,86.440678,86.440678,86.440678,0.000000,0.002971,0.007974,0.013647,4,0.000000,0.000000,0.111940,0.864001,-0.000447,-0.111940,0.110872,0.034150,0.397697,0.000000,0.864001,0.397697,189.027523,50.016677,105.498357,0.316416,0,456.85
20260607_183928,10.016,1,Right,117,86.324786,93.162393,86.324786,0.000000,0.002481,0.008324,0.012369,1,0.000000,0.000000,0.100531,0.848744,0.017129,-0.089235,0.100531,0.021558,0.323793,0.000000,0.848744,0.323793,234.016911,54.447059,136.279332,0.434765,0,456.85
20260607_183928,15.024,1,Left,171,90.643275,90.643275,90.643275,0.000000,0.003285,0.006122,0.011504,6,0.000000,0.000000,0.111940,0.886778,0.010523,-0.111940,0.110872,0.034397,0.546142,0.000000,0.886778,0.546142,251.634580,50.016677,149.931812,0.310915,0,238.23
20260607_183928,15.024,1,Right,170,90.588235,95.294118,90.588235,0.000000,0.002573,0.006588,0.011309,2,0.000000,0.000000,0.100531,0.848744,0.006607,-0.095125,0.100531,0.020560,0.474689,0.000000,0.848744,0.474689,284.184291,54.447059,146.673010,0.352615,0,238.23
20260607_183928,20.029,1,Left,228,92.982456,92.982456,92.982456,0.000000,0.003236,0.005017,0.009426,10,0.000000,0.000000,0.111940,0.889694,0.015652,-0.111940,0.110872,0.033557,0.628551,0.000000,0.889694,0.628551,283.238266,50.016677,172.131678,0.307461,0,246.30
20260607_183928,20.029,1,Right,227,92.951542,96.475771,92.951542,0.000000,0.002599,0.011666,0.010127,5,0.000000,0.000000,0.100531,0.848744,0.021371,-0.095125,0.100531,0.031821,0.516692,0.000000,0.848744,0.516692,282.999832,54.447059,125.013078,0.297605,0,246.30
20260607_183928,25.030,1,Left,283,94.346290,94.346290,94.346290,0.000000,0.006381,0.004923,0.017993,14,0.000000,0.000000,0.451475,0.950000,0.021165,-0.111940,0.451475,0.035590,0.678542,0.000000,0.950000,0.678542,299.262695,50.016677,182.888510,0.307468,0,454.67
20260607_183928,25.030,1,Right,282,94.326241,97.163121,94.326241,0.000000,0.002092,0.010012,0.009040,6,0.000000,0.000000,0.100531,0.848744,0.017203,-0.095125,0.100531,0.025615,0.568470,0.000000,0.848744,0.568470,292.631235,54.447059,123.206197,0.269519,0,454.67
