run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260616_183252,5.005,0,Left,50,100.000000,0.000000,100.000000,0.000000,0.033932,0.023356,0.031044,4,0.000000,0.000000,0.552782,0.893754,-0.003071,-0.228691,0.552782,0.123035,0.665722,0.003932,0.893754,0.665722,12.408958,13.643171,21.927530,-188.692383,0.069355,-225.028076,37.950881,38.529385,12.460427,182.709847,36.523035,77.062730,0.283694,0,0.560331,219.124626,5.506205,7.710863,364.91
20260616_183252,5.005,0,Right,48,100.000000,0.000000,100.000000,0.000000,0.008184,0.036995,0.009801,2,0.000000,0.000000,0.097383,0.858242,-0.002899,-0.097383,0.068966,0.045025,0.613331,0.240058,0.858242,0.613331,12.705622,13.594036,-14.537372,-193.601547,0.069355,-225.028076,37.950881,38.529385,4.807286,145.002720,90.957337,36.530456,0.131516,0,0.560331,219.124626,5.506205,7.710863,364.91
20260616_183252,10.011,0,Left,74,100.000000,0.000000,100.000000,0.000000,0.023859,0.016280,0.021487,4,0.000000,0.000000,0.552782,0.893754,0.018577,-0.228691,0.552782,0.103784,0.728651,0.003932,0.893754,0.728651,14.878428,14.822688,24.335789,-239.982910,-5.431467,-271.108826,37.469106,36.064132,13.243574,200.352808,36.523035,86.295368,0.262525,0,0.684513,175.184907,4.144236,7.672376,394.02
20260616_183252,10.011,0,Right,71,100.000000,0.000000,100.000000,0.000000,0.006756,0.026015,0.008019,3,0.000000,0.000000,0.097383,0.863072,0.015086,-0.097383,0.077900,0.047485,0.686318,0.240058,0.863072,0.686318,14.937247,14.788085,-15.748198,-243.942230,-5.431467,-271.108826,37.469106,36.064132,1.097179,158.006326,90.957337,46.615674,0.150164,0,0.684513,175.184907,4.144236,7.672376,394.02
