run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260531_163133,5.012,1,Left,33,66.666667,66.666667,66.666667,0.000000,0.006643,0.006180,0.008329,1,0.000000,0.000000,0.092046,0.147207,-0.026759,-0.092046,0.059073,0.030339,0.034117,0.000000,0.147207,0.034117,94.175018,77.689294,0.342969,0,206.26
20260531_163133,5.012,1,Right,32,65.625000,81.250000,65.625000,0.000000,0.021093,0.010025,0.009207,3,0.000000,0.000000,0.285781,0.167670,0.033390,0.000000,0.285781,0.033390,0.042570,0.000000,0.167670,0.042570,105.881327,77.844486,0.171690,0,206.26
20260531_163133,10.013,1,Left,74,85.135135,85.135135,85.135135,0.000000,0.006920,0.016978,0.009581,4,0.000000,0.000000,0.138120,0.835710,0.008671,-0.092046,0.138120,0.046360,0.370461,0.000000,0.835710,0.370461,163.571089,77.689294,0.200629,0,447.39
20260531_163133,10.013,1,Right,71,84.507042,91.549296,84.507042,0.000000,0.016583,0.016872,0.011834,5,0.000000,0.000000,0.285781,0.787378,-0.014993,-0.196131,0.285781,0.065532,0.424565,0.000000,0.787378,0.424565,154.678173,77.844486,0.168477,0,447.39
20260531_163133,15.016,1,Left,117,90.598291,90.598291,90.598291,0.000000,0.006718,0.013641,0.010521,8,0.000000,0.000000,0.138120,0.871222,0.014796,-0.092046,0.138120,0.038634,0.530782,0.000000,0.871222,0.530782,189.204144,77.689294,0.175975,0,449.84
20260531_163133,15.016,1,Right,114,90.350877,94.736842,90.350877,0.000000,0.015805,0.026402,0.011547,6,0.000000,0.000000,0.285781,0.900000,0.025329,-0.196131,0.285781,0.077551,0.499480,0.000000,0.900000,0.499480,176.072407,77.844486,0.175597,0,449.84
20260531_163133,20.025,1,Left,158,93.037975,93.037975,93.037975,0.000000,0.005933,0.011708,0.010723,14,0.000000,0.000000,0.138120,0.871222,0.016558,-0.092046,0.138120,0.034210,0.601897,0.000000,0.871222,0.601897,204.208708,77.689294,0.172738,0,390.90
20260531_163133,20.025,1,Right,154,92.857143,96.103896,92.857143,0.000000,0.013397,0.021223,0.012335,12,0.000000,0.000000,0.285781,0.900000,0.008206,-0.196131,0.285781,0.073281,0.586825,0.000000,0.900000,0.586825,195.218845,77.844486,0.189930,0,390.90
20260531_163133,25.039,1,Left,200,94.500000,94.500000,94.500000,0.000000,0.005770,0.011154,0.011500,19,0.000000,0.000000,0.138120,0.900000,0.018564,-0.092046,0.138120,0.032509,0.651208,0.000000,0.900000,0.651208,214.300220,77.689294,0.171483,0,232.32
20260531_163133,25.039,1,Right,195,94.358974,96.923077,94.358974,0.000000,0.012850,0.025264,0.012427,15,0.000000,0.000000,0.285781,0.900000,0.020105,-0.196131,0.285781,0.079454,0.595933,0.000000,0.900000,0.595933,198.385019,77.844486,0.191736,0,232.32
20260531_163133,30.043,1,Left,241,95.435685,95.435685,95.435685,0.000000,0.005508,0.010367,0.010742,21,0.000000,0.000000,0.138120,0.900000,0.019389,-0.092046,0.138120,0.030962,0.678309,0.000000,0.900000,0.678309,219.405541,77.689294,0.169890,0,212.36
20260531_163133,30.043,1,Right,236,95.338983,97.457627,95.338983,0.000000,0.011572,0.025010,0.012246,16,0.000000,0.000000,0.285781,0.900000,0.016316,-0.196131,0.285781,0.075466,0.630268,0.000000,0.900000,0.630268,205.302031,77.844486,0.193941,0,212.36
20260531_163133,35.049,1,Left,284,96.126761,96.126761,96.126761,0.000000,0.005428,0.009789,0.010540,29,0.000000,0.000000,0.138120,0.900000,0.020341,-0.092046,0.138120,0.030162,0.697114,0.000000,0.900000,0.697114,220.575901,77.689294,0.164567,0,234.44
20260531_163133,35.049,1,Right,278,96.043165,97.841727,96.043165,0.000000,0.010831,0.025211,0.012395,21,0.000000,0.000000,0.285781,0.900000,0.019735,-0.196131,0.285781,0.076248,0.636818,0.000000,0.900000,0.636818,206.825018,77.844486,0.193359,0,234.44
20260531_163133,40.051,1,Left,327,96.636086,96.636086,96.636086,0.000000,0.005252,0.009412,0.010242,33,0.000000,0.000000,0.138120,0.900000,0.020803,-0.092046,0.138120,0.029332,0.710297,0.000000,0.900000,0.710297,220.995149,77.689294,0.161202,0,232.72
20260531_163133,40.051,1,Right,321,96.573209,98.130841,96.573209,0.000000,0.010040,0.026133,0.011768,22,0.000000,0.000000,0.285781,0.900000,0.020124,-0.196131,0.285781,0.072082,0.647932,0.000000,0.900000,0.647932,204.365173,77.844486,0.186458,0,232.72
20260531_163133,45.053,1,Left,370,97.027027,97.027027,97.027027,0.000000,0.008862,0.013467,0.016953,40,0.000000,0.000000,0.475099,0.937687,0.021968,-0.255319,0.475099,0.033316,0.720319,0.000000,0.937687,0.720319,223.725652,77.689294,0.163554,0,406.50
20260531_163133,45.053,1,Right,364,96.978022,98.351648,96.978022,0.000000,0.009479,0.023900,0.011141,25,0.000000,0.000000,0.285781,0.900000,0.020334,-0.196131,0.285781,0.070057,0.663010,0.000000,0.900000,0.663010,201.871435,77.844486,0.182261,0,406.50
