run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260628_184626,5.004,1,Left,59,100.000000,0.000000,100.000000,0.000000,0.006143,0.023297,0.009170,4,0.000000,0.000000,0.103998,0.866219,0.015653,-0.055812,0.103998,0.042714,0.704869,0.314757,0.866219,0.704869,13.932491,13.346077,15.481775,-198.431564,0.197341,-222.499344,28.376183,28.737950,1.491856,121.698705,94.835446,38.365372,0.148616,0,0.893697,41.427623,0.578155,1.253182,252.88
20260628_184626,5.004,1,Right,57,100.000000,0.000000,100.000000,0.000000,0.008041,0.031218,0.013580,4,0.000000,0.000000,0.119773,0.897572,-0.009449,-0.119773,0.093473,0.051555,0.628936,0.240004,0.897572,0.628936,13.274165,13.210065,-12.086096,-196.267914,0.197341,-222.499344,28.376183,28.737950,1.576630,119.611924,67.918400,45.101594,0.174658,0,0.893697,41.427623,0.578155,1.253182,252.88
20260628_184626,10.016,1,Left,113,100.000000,0.000000,100.000000,0.000000,0.004656,0.013776,0.006858,8,0.000000,0.000000,0.103998,0.866219,0.019169,-0.055812,0.103998,0.042911,0.752533,0.314757,0.866219,0.752533,16.437808,15.226010,6.370995,-294.305542,-15.405541,-311.624207,27.156917,26.033623,3.132999,121.301683,94.835446,37.968350,0.150542,0,0.607668,76.193285,3.058144,3.929169,346.67
20260628_184626,10.016,1,Right,111,100.000000,0.000000,100.000000,0.000000,0.005055,0.019634,0.009078,6,0.000000,0.000000,0.119773,0.899887,0.011818,-0.119773,0.098105,0.043145,0.706616,0.240004,0.899887,0.706616,15.894516,15.190039,-22.438059,-288.422974,-15.405541,-311.624207,27.156917,26.033623,6.041476,119.429800,67.918400,43.906212,0.172535,0,0.607668,76.193285,3.058144,3.929169,346.67
20260628_184626,15.028,1,Left,165,100.000000,0.000000,100.000000,0.000000,0.003641,0.010813,0.004987,9,0.000000,0.000000,0.103998,0.866219,0.018772,-0.055812,0.103998,0.035032,0.761860,0.314757,0.866219,0.761860,17.189068,15.873332,-29.488443,-381.647736,-52.549767,-393.736877,23.697965,24.167348,3.988979,119.485731,94.835446,36.152397,0.142770,0,0.591468,150.392440,3.406489,5.203318,347.18
20260628_184626,15.028,1,Right,162,100.000000,0.000000,100.000000,0.000000,0.004228,0.017963,0.007535,7,0.000000,0.000000,0.119773,0.899887,0.021416,-0.119773,0.098105,0.042881,0.713438,0.240004,0.899887,0.713438,16.398860,15.847993,-49.908188,-371.597107,-52.549767,-393.736877,23.697965,24.167348,8.081559,112.716880,67.918400,36.856582,0.157067,0,0.591468,150.392440,3.406489,5.203318,347.18
20260628_184626,20.040,1,Left,215,100.000000,0.000000,100.000000,0.000000,0.002958,0.009123,0.004062,11,0.000000,0.000000,0.103998,0.866219,0.021222,-0.055812,0.103998,0.033701,0.769191,0.314757,0.866219,0.769191,17.623609,16.200474,-84.985573,-459.010010,-108.922783,-464.049164,24.412543,23.858562,5.647926,118.116010,94.835446,34.782676,0.138649,0,0.569315,132.758337,3.883170,5.114636,327.25
20260628_184626,20.040,1,Right,212,100.000000,0.000000,100.000000,0.000000,0.003852,0.016690,0.006613,9,0.000000,0.000000,0.119773,0.899887,0.018579,-0.119773,0.098105,0.037199,0.718748,0.240004,0.899887,0.718748,16.693620,16.185741,-103.491890,-441.436951,-108.922783,-464.049164,24.412543,23.858562,6.824912,109.235698,67.918400,33.202561,0.144225,0,0.569315,132.758337,3.883170,5.114636,327.25
20260628_184626,25.052,1,Left,273,100.000000,0.000000,100.000000,0.000000,0.002613,0.008047,0.003467,13,0.000000,0.000000,0.103998,0.866219,0.021678,-0.055812,0.103998,0.031505,0.771059,0.314757,0.866219,0.771059,17.845085,16.429826,-156.179504,-518.639832,-180.366531,-517.799011,24.258380,23.662349,5.868934,116.519750,94.835446,33.186417,0.133665,0,0.556451,136.079951,4.016657,5.283723,239.01
20260628_184626,25.052,1,Right,270,100.000000,0.000000,100.000000,0.000000,0.003468,0.016133,0.005876,11,0.000000,0.000000,0.119773,0.899887,0.022106,-0.119773,0.098105,0.037142,0.720662,0.240004,0.899887,0.720662,16.877540,16.420807,-169.878983,-497.191071,-180.366531,-517.799011,24.258380,23.662349,7.022022,107.628100,67.918400,31.474667,0.140712,0,0.556451,136.079951,4.016657,5.283723,239.01
