run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_233349,5.011,1,Left,46,63.043478,0.000000,63.043478,0.000000,0.000000,0.005217,0.007873,2,0.000000,0.000000,0.000000,0.240000,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,0.240000,0.120000,62.396784,53.620606,72.003623,0.474887,0,452.07
20260607_233349,5.011,1,Right,45,64.444444,0.000000,64.444444,0.000000,0.000000,0.005333,0.006709,4,0.000000,0.000000,0.000000,0.240000,0.000000,0.000000,0.000000,0.000000,0.122667,0.000000,0.240000,0.122667,64.348040,54.903349,79.152394,0.508137,0,452.07
20260607_233349,10.016,1,Left,97,82.474227,0.000000,82.474227,0.000000,0.003245,0.008921,0.015444,3,0.000000,0.000000,0.117835,0.817611,-0.005702,-0.098480,0.117835,0.028508,0.363981,0.000000,0.817611,0.363981,152.093501,53.620606,86.651110,0.314793,0,462.23
20260607_233349,10.016,1,Right,95,83.157895,0.000000,83.157895,0.000000,0.002900,0.009104,0.013263,5,0.000000,0.000000,0.103711,0.824445,0.018068,-0.068059,0.103711,0.022013,0.358761,0.000000,0.824445,0.358761,160.986045,54.903349,94.601492,0.327839,0,462.23
20260607_233349,15.022,1,Left,148,88.513514,0.000000,88.513514,0.000000,0.003930,0.006599,0.012557,6,0.000000,0.000000,0.119702,0.855059,0.014115,-0.098480,0.119702,0.036537,0.528597,0.000000,0.855059,0.528597,235.573005,53.620606,143.284364,0.307014,0,383.18
20260607_233349,15.022,1,Right,146,89.041096,0.000000,89.041096,0.000000,0.006467,0.006857,0.022979,8,0.000000,0.000000,0.250528,0.824445,0.001796,-0.250528,0.103711,0.025188,0.512992,0.000000,0.824445,0.512992,214.758867,54.903349,118.121161,0.291100,0,383.18
20260607_233349,20.028,1,Left,196,91.326531,0.000000,91.326531,0.000000,0.003978,0.005494,0.010562,9,0.000000,0.000000,0.119702,0.855059,0.016775,-0.098480,0.119702,0.033706,0.606303,0.000000,0.855059,0.606303,273.405058,53.620606,169.823877,0.302877,0,248.35
20260607_233349,20.028,1,Right,194,91.752577,0.000000,91.752577,0.000000,0.006721,0.005897,0.024062,9,0.000000,0.000000,0.250528,0.824445,0.018748,-0.250528,0.183296,0.037549,0.564807,0.000000,0.824445,0.564807,209.128166,54.903349,99.853320,0.255060,0,248.35
20260607_233349,25.031,1,Left,249,93.172691,0.000000,93.172691,0.000000,0.003930,0.004803,0.009222,13,0.000000,0.000000,0.119702,0.855059,0.018509,-0.098480,0.119702,0.031836,0.656455,0.000000,0.855059,0.656455,294.573521,53.620606,183.951740,0.299203,0,475.22
20260607_233349,25.031,1,Right,246,93.495935,0.000000,93.495935,0.000000,0.005956,0.005099,0.020994,10,0.000000,0.000000,0.250528,0.824445,0.016742,-0.250528,0.183296,0.035028,0.598178,0.000000,0.824445,0.598178,205.952275,54.903349,88.939470,0.227346,0,475.22
20260607_233349,30.034,1,Left,302,94.370861,0.000000,94.370861,0.000000,0.004108,0.004318,0.008441,16,0.000000,0.000000,0.119702,0.855059,0.020398,-0.098480,0.119702,0.031386,0.689504,0.000000,0.855059,0.689504,309.264041,53.620606,194.220271,0.297689,0,230.28
20260607_233349,30.034,1,Right,299,94.648829,0.000000,94.648829,0.000000,0.005236,0.007738,0.017814,12,0.000000,0.000000,0.250528,0.824445,0.018282,-0.250528,0.183296,0.033327,0.613764,0.000000,0.824445,0.613764,205.206340,54.903349,83.232954,0.212316,0,230.28
20260607_233349,35.038,1,Left,355,95.211268,0.000000,95.211268,0.000000,0.004069,0.004057,0.007858,19,0.000000,0.000000,0.119702,0.855059,0.021318,-0.098480,0.119702,0.030665,0.710956,0.000000,0.855059,0.710956,314.631818,53.620606,196.552836,0.294541,0,236.14
20260607_233349,35.038,1,Right,352,95.454545,0.000000,95.454545,0.000000,0.005224,0.006985,0.015793,15,0.000000,0.000000,0.250528,0.824445,0.020433,-0.250528,0.183296,0.033212,0.633940,0.000000,0.824445,0.633940,207.774602,54.903349,82.405580,0.206614,0,236.14
20260607_233349,40.042,1,Left,407,95.823096,0.000000,95.823096,0.000000,0.004054,0.003846,0.007434,23,0.000000,0.000000,0.119702,0.855059,0.021281,-0.098480,0.119702,0.029434,0.724072,0.000000,0.855059,0.724072,312.943878,53.620606,192.688705,0.289273,0,237.57
20260607_233349,40.042,1,Right,404,96.039604,0.000000,96.039604,0.000000,0.004907,0.006366,0.014396,18,0.000000,0.000000,0.250528,0.824445,0.020549,-0.250528,0.183296,0.031684,0.646662,0.000000,0.824445,0.646662,207.458740,54.903349,79.659735,0.199306,0,237.57
20260607_233349,45.044,1,Left,461,96.312364,0.000000,96.312364,0.000000,0.004159,0.003705,0.007136,26,0.000000,0.000000,0.119702,0.855059,0.022463,-0.098480,0.119702,0.029662,0.733512,0.000000,0.855059,0.733512,309.532825,53.620606,187.557286,0.284089,0,246.46
20260607_233349,45.044,1,Right,456,96.491228,0.000000,96.491228,0.000000,0.004822,0.005939,0.013415,20,0.000000,0.000000,0.250528,0.824445,0.021550,-0.250528,0.183296,0.031415,0.655050,0.000000,0.824445,0.655050,205.704099,54.903349,76.049471,0.191965,0,246.46
20260607_233349,50.046,1,Left,515,96.699029,0.000000,96.699029,0.000000,0.004101,0.003581,0.006921,29,0.000000,0.000000,0.119702,0.855059,0.022037,-0.098480,0.119702,0.028480,0.741052,0.000000,0.855059,0.741052,306.990503,53.620606,183.667689,0.279840,0,451.39
20260607_233349,50.046,1,Right,510,96.862745,0.000000,96.862745,0.000000,0.004622,0.005532,0.012540,23,0.000000,0.000000,0.250528,0.824445,0.023078,-0.250528,0.183296,0.031898,0.661903,0.000000,0.824445,0.661903,204.222848,54.903349,73.054711,0.185912,0,451.39
20260607_233349,55.053,1,Left,564,96.985816,0.000000,96.985816,0.000000,0.004106,0.003493,0.006693,33,0.000000,0.000000,0.119702,0.855059,0.022360,-0.098480,0.119702,0.028243,0.746670,0.000000,0.855059,0.746670,305.188117,53.620606,180.872978,0.276891,0,222.17
20260607_233349,55.053,1,Right,559,97.137746,0.000000,97.137746,0.000000,0.004590,0.005252,0.011976,25,0.000000,0.000000,0.250528,0.824445,0.022876,-0.250528,0.183296,0.030923,0.666869,0.000000,0.824445,0.666869,203.032716,54.903349,70.751719,0.181037,0,222.17
20260607_233349,60.061,1,Left,615,97.235772,0.000000,97.235772,0.000000,0.004191,0.003366,0.006529,36,0.000000,0.000000,0.119702,0.855059,0.022926,-0.098480,0.119702,0.028322,0.751855,0.000000,0.855059,0.751855,304.148636,53.620606,178.973382,0.274747,0,446.20
20260607_233349,60.061,1,Right,610,97.377049,0.000000,97.377049,0.000000,0.004453,0.004987,0.011422,28,0.000000,0.000000,0.250528,0.824445,0.022969,-0.250528,0.183296,0.030343,0.671403,0.000000,0.824445,0.671403,202.213573,54.903349,68.969292,0.177101,0,446.20
20260607_233349,65.071,1,Left,670,97.462687,0.000000,97.462687,0.000000,0.004152,0.003257,0.006331,39,0.000000,0.000000,0.119702,0.855059,0.023149,-0.098480,0.119702,0.028102,0.756315,0.000000,0.855059,0.756315,302.733174,53.620606,176.780916,0.272499,0,442.11
20260607_233349,65.071,1,Right,663,97.586727,0.000000,97.586727,0.000000,0.004405,0.004808,0.010981,30,0.000000,0.000000,0.250528,0.824445,0.022938,-0.250528,0.183296,0.029723,0.675429,0.000000,0.824445,0.675429,201.551753,54.903349,67.467323,0.173744,0,442.11
20260607_233349,70.082,1,Left,724,97.651934,0.000000,97.651934,0.000000,0.004113,0.003182,0.006203,43,0.000000,0.000000,0.119702,0.855059,0.022873,-0.098480,0.119702,0.027457,0.760098,0.000000,0.855059,0.760098,301.685202,53.620606,175.087683,0.270572,0,351.22
20260607_233349,70.082,1,Right,715,97.762238,0.000000,97.762238,0.000000,0.004315,0.004674,0.010635,32,0.000000,0.000000,0.250528,0.824445,0.023633,-0.250528,0.183296,0.029925,0.678881,0.000000,0.824445,0.678881,201.085275,54.903349,66.300369,0.171185,0,351.22
20260607_233349,75.086,1,Left,778,97.814910,0.000000,97.814910,0.000000,0.004168,0.003096,0.006118,46,0.000000,0.000000,0.119702,0.855059,0.023520,-0.098480,0.119702,0.027785,0.763698,0.000000,0.855059,0.763698,301.425180,53.620606,174.273974,0.269456,0,450.90
20260607_233349,75.086,1,Right,768,97.916667,0.000000,97.916667,0.000000,0.004233,0.004547,0.010353,35,0.000000,0.000000,0.250528,0.824445,0.024047,-0.250528,0.183296,0.029905,0.681480,0.000000,0.824445,0.681480,200.240414,54.903349,64.841250,0.168281,0,450.90
