run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260531_120200,5.002,1,Left,48,66.666667,66.666667,66.666667,0.000000,0.000000,0.029459,0.000000,1,0.000000,0.000000,0.000000,0.689644,0.000000,0.000000,0.000000,0.000000,0.202107,0.000000,0.689644,0.202107,67.330185,51.909778,0.072483,0,466.14
20260531_120200,5.002,1,Right,48,66.666667,83.333333,66.666667,0.000000,0.025915,0.007931,0.000000,1,0.000000,0.000000,0.335562,0.271475,0.058172,-0.285781,0.335562,0.153293,0.043748,0.000000,0.271475,0.043748,92.905866,47.210827,0.503808,0,466.14
20260531_120200,10.003,1,Left,98,83.673469,83.673469,83.673469,0.000000,0.002695,0.023008,0.000000,4,0.000000,0.000000,0.130225,0.758374,0.008198,-0.061527,0.130225,0.016192,0.400842,0.000000,0.758374,0.400842,80.353359,49.485086,0.123665,0,255.77
20260531_120200,10.003,1,Right,98,83.673469,91.836735,83.673469,0.000000,0.019147,0.032598,0.000000,3,0.000000,0.000000,0.335562,0.900000,0.005706,-0.285781,0.335562,0.127380,0.378626,0.000000,0.900000,0.378626,153.461249,47.210827,0.279005,0,255.77
20260531_120200,15.009,1,Left,150,89.333333,89.333333,89.333333,0.000000,0.003919,0.015750,0.000000,6,0.000000,0.000000,0.130225,0.793410,0.016599,-0.061527,0.130225,0.021822,0.532189,0.000000,0.793410,0.532189,95.456152,49.485086,0.160042,0,267.14
20260531_120200,15.009,1,Right,150,89.333333,94.666667,89.333333,0.000000,0.014954,0.027274,0.000000,6,0.000000,0.000000,0.335562,0.900000,0.009799,-0.285781,0.335562,0.106994,0.513944,0.000000,0.900000,0.513944,179.002196,47.210827,0.231534,0,267.14
20260531_120200,20.014,1,Left,201,92.039801,92.039801,92.039801,0.000000,0.003953,0.012297,0.000000,9,0.000000,0.000000,0.130225,0.794640,0.017231,-0.061527,0.130225,0.021129,0.596810,0.000000,0.794640,0.596810,103.236396,49.485086,0.177831,0,222.95
20260531_120200,20.014,1,Right,201,92.039801,96.019900,92.039801,0.000000,0.013161,0.028054,0.000000,7,0.000000,0.000000,0.335562,0.900000,0.023518,-0.285781,0.335562,0.096052,0.557518,0.000000,0.900000,0.557518,183.567661,47.210827,0.201427,0,222.95
20260531_120200,25.014,1,Left,256,93.750000,93.750000,93.750000,0.000000,0.003908,0.010113,0.000000,11,0.000000,0.000000,0.130225,0.798611,0.018450,-0.061527,0.130225,0.021511,0.637706,0.000000,0.798611,0.637706,108.066222,49.485086,0.188810,0,266.17
20260531_120200,25.014,1,Right,255,93.725490,96.862745,93.725490,0.000000,0.011946,0.030282,0.000000,10,0.000000,0.000000,0.335562,0.900000,0.019298,-0.285781,0.335562,0.085183,0.572269,0.000000,0.900000,0.572269,185.316565,47.210827,0.180199,0,266.17
20260531_120200,30.015,1,Left,309,94.822006,94.822006,94.822006,0.000000,0.004305,0.008776,0.000000,14,0.000000,0.000000,0.130225,0.802564,0.022270,-0.061527,0.130225,0.024805,0.663580,0.000000,0.802564,0.663580,110.882531,49.485086,0.196150,0,455.95
20260531_120200,30.015,1,Right,308,94.805195,97.402597,94.805195,0.000000,0.011410,0.028329,0.000000,12,0.000000,0.000000,0.335562,0.900000,0.018045,-0.285781,0.335562,0.081513,0.613619,0.000000,0.900000,0.613619,189.076039,47.210827,0.172994,0,455.95
20260531_120200,35.027,1,Left,363,95.592287,95.592287,95.592287,0.000000,0.004466,0.007839,0.000000,16,0.000000,0.000000,0.130225,0.802564,0.022020,-0.061527,0.130225,0.024178,0.680755,0.000000,0.802564,0.680755,112.112306,49.485086,0.199250,0,253.17
20260531_120200,35.027,1,Right,362,95.580110,97.790055,95.580110,0.000000,0.011014,0.029001,0.000000,13,0.000000,0.000000,0.335562,0.900000,0.024671,-0.285781,0.335562,0.079699,0.610959,0.000000,0.900000,0.610959,194.359588,47.210827,0.168107,0,253.17
20260531_120200,40.029,1,Left,410,96.097561,96.097561,96.097561,0.000000,0.004479,0.007196,0.000000,19,0.000000,0.000000,0.130225,0.802564,0.021987,-0.061527,0.130225,0.023898,0.692754,0.000000,0.802564,0.692754,112.555746,49.485086,0.200554,0,245.28
20260531_120200,40.029,1,Right,409,96.088020,98.044010,96.088020,0.000000,0.010270,0.027464,0.000000,14,0.000000,0.000000,0.335562,0.900000,0.019014,-0.285781,0.335562,0.074214,0.635564,0.000000,0.900000,0.635564,199.549275,47.210827,0.167226,0,245.28
