run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260520_114220,5.003,1,Left,45,64.444444,64.444444,64.444444,0.000000,0.003184,0.030879,0.027559,1,0.000000,0.000000,0.071648,0.691657,71.177496,54.989054,0.077186,0,252.27
20260520_114220,5.003,1,Right,45,64.444444,84.444444,64.444444,0.000000,0.045866,0.014651,0.081154,1,0.000000,0.000000,0.523660,0.250195,88.002904,50.320095,0.463803,0,252.27
20260520_114220,10.015,1,Left,100,84.000000,84.000000,84.000000,0.000000,0.003384,0.035417,0.033266,4,0.000000,0.000000,0.171883,0.735488,78.781527,54.989054,0.104168,0,261.49
20260520_114220,10.015,1,Right,100,84.000000,93.000000,84.000000,0.000000,0.025937,0.036545,0.058756,3,0.000000,0.000000,0.523660,0.900000,147.752057,50.320095,0.227475,0,261.49
20260520_114220,15.025,1,Left,154,89.610390,89.610390,89.610390,0.000000,0.005081,0.032661,0.038124,6,0.000000,0.000000,0.171883,0.764818,83.583100,54.989054,0.117171,0,445.82
20260520_114220,15.025,1,Right,153,89.542484,95.424837,89.542484,0.000000,0.021802,0.036410,0.056663,6,0.000000,0.000000,0.523660,0.900000,154.464709,50.320095,0.181369,0,445.82
20260520_114220,20.027,1,Left,206,92.233010,92.233010,92.233010,0.000000,0.005732,0.031330,0.036043,9,0.000000,0.000000,0.171883,0.764818,84.885523,54.989054,0.120321,0,233.11
20260520_114220,20.027,1,Right,204,92.156863,96.568627,92.156863,0.000000,0.018876,0.038856,0.056555,9,0.000000,0.000000,0.523660,0.900000,159.628319,50.320095,0.159802,0,233.11
20260520_114220,25.029,1,Left,256,93.750000,93.750000,93.750000,0.000000,0.005885,0.039865,0.034827,13,0.000000,0.000000,0.171883,0.764818,84.328990,54.989054,0.120825,0,261.03
20260520_114220,25.029,1,Right,254,93.700787,97.244094,93.700787,0.000000,0.017133,0.040162,0.053610,11,0.000000,0.000000,0.523660,0.900000,161.647978,50.320095,0.142048,0,261.03
20260520_114220,30.034,1,Left,304,94.736842,94.736842,94.736842,0.000000,0.010951,0.038813,0.043683,17,0.000000,0.000000,0.502025,0.764818,84.550358,54.989054,0.127734,0,238.84
20260520_114220,30.034,1,Right,301,94.684385,97.674419,94.684385,0.000000,0.015723,0.041357,0.051673,14,0.000000,0.000000,0.523660,0.900000,163.026034,50.320095,0.131473,0,238.84
